model,method_key,condition,estimand,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent
bag8,freq_enc_train_only,all_datasets,relative_percent,86,0.3927049037552501,0.0,0.0,0.0065033465607641,0.9601463714394649,0.10901184185963703,0.6763979656508632,34,33,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.003616748568436065,0.9963832514315639,0.026719405268855523,0.9864958411731388,-0.0799304842537589,0.7626398647035264,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,classification_only,relative_percent,59,0.5565769098101075,0.0,0.0,0.0686412445960434,0.9636568200429461,0.147939013124607,0.9652148064956081,28,16,15,0.6511627906976745,0.49073363952463894,0.78992184299333,0.004227081698741176,0.9957729183012588,0.03299701722789905,0.9842302513234245,-0.13458230075355354,1.9645138630633605,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,regression_only,relative_percent,27,0.034614223857598665,0.0,0.0,0.0,0.9808427095413208,-0.049091543707423295,0.11831999142262062,6,17,4,0.6,0.26237807660694507,0.8784477418801728,0.20154025868730485,0.7984597413126951,0.376953125,0.828125,-0.02381645717616756,0.17805129584615892,-0.5772989222510714,0.6485084055965172,True
bag8,freq_enc_train_only,mechanism_possible_n_cat_gt_0,relative_percent,61,0.5536495364418281,0.0273473570375894,0.0,0.1067457159336998,0.9603829851015003,0.15772983855371525,0.949569234329941,34,8,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.003458982637559729,0.9965410173624403,0.026719405268855523,0.9864958411731388,-0.1373568357316941,1.8101772735347192,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,no_categorical_columns,relative_percent,25,0.0,0.0,0.0,0.0,0.9567147493362427,0.0,0.0,0,25,0,,,,0.5,0.5,,,0.0,0.0,0.0,0.0,True
bag8,freq_enc_train_only,estimator_sensitivity_lift_pct,relative_percent,86,0.3914520882799813,0.0,0.0,0.0053582204627502,0.9601463714394649,0.11278986598709168,0.6701143105728709,34,33,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.0032249960819420204,0.996775003918058,0.026719405268855523,0.9864958411731388,-0.0799304842537589,0.853592999062619,-0.8416324664269221,7.52796500420011,True
bag8,freq_enc_train_only,source_equal,relative_percent,61,0.5516386912054968,0.0,0.0,0.063844363554058,0.9603829851015003,0.15993018693693734,0.9433471954740562,26,27,8,0.7647058823529411,0.5882921580928333,0.8925381842249919,0.0032764190320222573,0.9967235809679778,0.0014675278216600418,0.9995893023442477,-0.0162732763024018,1.8101772735347192,-0.6805398360412407,7.549817547241608,True
bag8,freq_enc_train_only,classification_with_metric,accuracy_absolute_gain,65,0.00036186239357759094,0.0,0.0,0.0,0.9536465256670889,-0.0002782427708054248,0.0010019675579606066,24,21,20,0.5454545454545454,0.3884721224729165,0.6960928864843263,0.13148257738948552,0.8685174226105145,0.325793913604457,0.7743095838019372,-0.0007864145225814856,0.0012557331300918492,-0.003333333333333327,0.018015021009033017,True
bag8,freq_enc_train_only,classification_with_metric,accuracy_error_reduction_pct,59,0.19407802020572093,0.0,0.0,0.013408420487970855,0.9636568200429461,-0.09894979219316793,0.4871058326046098,22,19,18,0.55,0.38490679453401333,0.7074116499601201,0.09505591790770473,0.9049440820922953,0.3179140013144206,0.7852047460783069,-0.5051315476143136,0.7845333876371078,-2.383424366902875,6.823548108795363,True
bag8,freq_enc_train_only,classification_with_metric,log_loss_absolute_decrease,65,0.0009533757858386098,0.0,0.0,4.032743233384206e-05,0.9536465256670889,0.0001762192652878205,0.001730532306389399,28,16,21,0.5714285714285714,0.42210405203591267,0.7118047757521906,0.00850026917528537,0.9914997308247147,0.19580145527374526,0.8735651349161984,-0.00022365130775992004,0.0017985211491179044,-0.003662294642544972,0.018175157801880067,True
bag8,freq_enc_train_only,classification_with_metric,log_loss_reduction_pct,59,0.22411314746493624,0.0,0.0,0.03043253175020536,0.9636568200429461,0.06339381480222966,0.3848324801276428,25,14,20,0.5555555555555556,0.39997349640367874,0.7035560761341417,0.0035481966798846312,0.9964518033201154,0.2757421649012599,0.8143509827644948,-0.035373454731124396,0.5879033238548792,-0.7144434637843664,3.1104852773014224,True
bag8,freq_enc_train_only,classification_with_metric,primary_absolute_error_decrease,65,0.0009663803877401153,0.0,0.0,9.624094202911881e-05,0.9536465256670889,0.000296024398346928,0.0016367363771333026,31,18,16,0.6595744680851063,0.5068675147854211,0.7913591217752398,0.0027024030325126145,0.9972975969674873,0.019993028413026075,0.9906880816924968,-0.00014048214540507976,0.0027861966165889447,-0.0017133301631304942,0.012774792782306338,True
bag8,freq_enc_train_only,classification_with_metric,primary_headroom_reduction_pct,59,0.5565769098101133,0.0,0.0,0.0686412445960657,0.9636568200429461,0.14793901312461266,0.965214806495614,28,16,15,0.6511627906976745,0.49073363952463894,0.78992184299333,0.004227081698740863,0.9957729183012591,0.03299701722789905,0.9842302513234245,-0.13458230075356795,1.9645138630633547,-0.8416324664269359,7.5498175472416085,True
bag8,joint_freq_combined,all_datasets,relative_percent,86,0.45576157796602385,0.0,0.0,0.0260782398857177,0.9601463714394649,0.1501056366192841,0.7614175193127636,37,31,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.001965512784311618,0.9980344872156883,0.007226916766913864,0.9967720984450217,-0.0729909809842535,1.2332422777838608,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,classification_only,relative_percent,59,0.6695834912159727,0.0065033465607641,0.0,0.1067457159336998,0.9636568200429461,0.23494166096305197,1.1042253214688935,30,15,14,0.6818181818181818,0.5242185785027911,0.81390116282513,0.0015641044617968314,0.9984358955382031,0.011314420602957398,0.9952200605716826,-0.09680524869484754,2.0390392019991928,-0.9580640130864286,8.753469086311608,True
bag8,joint_freq_combined,regression_only,relative_percent,27,-0.011478899135716458,0.0,0.0,0.0,0.9808427095413208,-0.14189354025619197,0.11893574198475906,7,16,4,0.6363636363636364,0.30790471501167715,0.8907365561809019,0.5710851353302191,0.4289148646697809,0.2744140625,0.88671875,-0.01605275855391385,0.22017366902820568,-1.4925030793981184,0.5488485631898775,True
bag8,joint_freq_combined,mechanism_possible_n_cat_gt_0,relative_percent,61,0.6425505259701741,0.0545891065985552,0.0,0.1987255594255241,0.9603829851015003,0.21727789858832697,1.0678231533520213,37,7,17,0.6851851851851852,0.5444760051271569,0.8047605889968084,0.001842812142455187,0.9981571878575448,0.004536670169793587,0.998080867059837,-0.1001958230570017,1.8884579452921009,-1.4925030793981184,8.753469086311608,True
bag8,joint_freq_combined,no_categorical_columns,relative_percent,25,-3.4551641029081434e-06,0.0,0.0,0.0,0.9567147493362427,-1.0586272325089032e-05,3.6759441192727445e-06,0,24,1,0.0,0.0,0.975,0.8363565593601074,0.16364344063989256,1.0,0.5,0.0,0.0,-8.637910257270358e-05,0.0,True
bag8,joint_freq_combined,estimator_sensitivity_lift_pct,relative_percent,86,0.45557692480713663,0.0,0.0,0.0260782398857177,0.9601463714394649,0.15370042281865004,0.7574534267956232,37,31,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.0017677908004061565,0.9982322091995939,0.007226916766913864,0.9967720984450217,-0.0729909809842535,1.2190069622699145,-1.4925030793981184,8.431758287573262,True
bag8,joint_freq_combined,source_equal,relative_percent,61,0.5680356450065958,0.0,0.0,0.0545891065985552,0.9603829851015003,0.1744552128269088,0.9616160771862827,27,25,9,0.75,0.577970415421856,0.8787967058761648,0.002700459577391697,0.9972995404226083,0.001966586511116475,0.9994033785187639,-0.0162732763024018,1.8884579452921009,-0.9580640130864286,8.753469086311608,True
bag8,joint_freq_combined,classification_with_metric,accuracy_absolute_gain,65,0.0005695345691744651,0.0,0.0,0.00013270959836778062,0.9536465256670889,-4.079859253429332e-05,0.0011798677308832235,29,24,12,0.7073170731707317,0.5446260168346369,0.8387014302856923,0.03344141810700661,0.9665585818929934,0.005753894867666531,0.9978379975327698,-0.00031062758554647324,0.0012674247808446035,-0.0028490028490028158,0.01801502100903299,True
bag8,joint_freq_combined,classification_with_metric,accuracy_error_reduction_pct,59,0.3193067407135339,0.0,0.0,0.05846433675458409,0.9636568200429461,0.0224614422069237,0.616152039220144,26,22,11,0.7027027027027027,0.5302004650059331,0.8412745636203715,0.017737369580537187,0.9822626304194628,0.010036925959866494,0.996183960698545,-0.15052850723140776,1.2226473390981625,-2.383424366902875,6.823548108795352,True
bag8,joint_freq_combined,classification_with_metric,log_loss_absolute_decrease,65,0.0010720828687791305,0.0,0.0,9.197588932208234e-05,0.9536465256670889,0.0002840066228587298,0.0018601591146995312,31,15,19,0.62,0.47174916305285536,0.7534989222001378,0.00422421679887454,0.9957757832011255,0.05946022627971814,0.9675456764638639,-0.00021706120980427012,0.002239062900935163,-0.0010743763787812166,0.017317254832360372,True
bag8,joint_freq_combined,classification_with_metric,log_loss_reduction_pct,59,0.26489042924216133,0.0,0.0,0.026986889985938615,0.9636568200429461,0.09063816314296211,0.4391426953413605,28,13,18,0.6086956521739131,0.4537413794124602,0.7491205884392371,0.0017584970052024992,0.9982415029947975,0.09196241068849531,0.9480973222479463,-0.03419998382572017,0.8211325117048661,-0.42794001462636744,2.8604834074977235,True
bag8,joint_freq_combined,classification_with_metric,primary_absolute_error_decrease,65,0.0010662680798510268,0.0,0.0,0.00015990958203940253,0.9536465256670889,0.000397534373321459,0.0017350017863805947,32,17,16,0.6666666666666666,0.515891679553828,0.7960402644190006,0.0011176629192784881,0.9988823370807215,0.014652473360264654,0.9933583592188775,-0.00013129580708618472,0.003949675639797902,-0.0008496275960588884,0.015168237092001186,True
bag8,joint_freq_combined,classification_with_metric,primary_headroom_reduction_pct,59,0.6695834912159793,0.006503346560779588,0.0,0.10674571593371981,0.9636568200429461,0.2349416609630584,1.1042253214689002,30,15,14,0.6818181818181818,0.5242185785027911,0.81390116282513,0.001564104461796702,0.9984358955382033,0.011314420602957398,0.9952200605716826,-0.09680524869486518,2.039039201999212,-0.9580640130865105,8.753469086311641,True
bag8,joint_freq_combined__sel_combined_intersection,all_datasets,relative_percent,86,0.2710881976336724,0.0,-3.169109347156883e-05,0.0008353530793474,0.9601463714394649,0.05322353713308134,0.4889528581342635,42,9,35,0.5454545454545454,0.4279049290065848,0.6594015897233974,0.007674945095442365,0.9923250549045577,0.24719113684775001,0.8189841011301693,-0.21601683067455552,1.0160964925542162,-1.2559324258492155,5.448907674921139,True
bag8,joint_freq_combined__sel_combined_intersection,classification_only,relative_percent,59,0.3804745400765835,0.0,-0.02547084875254,0.0654860891389691,0.9636568200429461,0.06565081714699922,0.6952982630061677,28,6,25,0.5283018867924528,0.3863552071940992,0.6669753043211035,0.009357305580641928,0.990642694419358,0.3919231511047494,0.7084339228694119,-0.4112479904150964,1.5205661619820467,-1.2559324258492155,5.448907674921139,True
