model,dataset,dataset_family,domain_auc,shift_bin,near_perfect_base,n_target_variants,n_harmful_excluded_using_other_datasets,n_variants_retained_with_relative_effect,mean_retained_pct,median_retained_pct,frac_retained_positive,profile_status,best_retained_variants
bag8,lending_club,real_shift,0.94616475,0.75 <= DAUC < 0.95,False,143,72,71,-0.22405458641572,0.0237375584696989,0.5492957746478874,descriptive_correlated_variants_no_ci,pseudo_label_lgbm_conf90_iter1:0.326111;target_enc_inv_ratio:0.296400;joint_freq_combined__sel_combined_intersection:0.288046;target_enc_absolute:0.287488;joint_groupby_combined__sel_combined_intersection:0.270748
bag8,maternal_health_risk,TabArena_IID,0.4809925428071595,DAUC < 0.55,False,144,74,70,-0.7121160491868197,0.0,0.4,descriptive_correlated_variants_no_ci,targeted_groupby_top3:13.071473;targeted_groupby_top3_shifted_agg:13.071473;pseudo_label_lgbm_conf90_iter3:11.438178;pseudo_label_lgbm_conf95_iter3:9.423312;pseudo_label_lgbm_conf90_iter1:8.896276
bag8,miami_housing,TabArena_IID,0.5000548768378967,DAUC < 0.55,False,135,70,65,-0.5075287022483671,-4.357633320153984e-07,0.13846153846153847,descriptive_correlated_variants_no_ci,cluster_membership_k10_weight:0.545289;joint_tsne_2d_p50:0.496794;cluster_membership_k10_feature_cumshift:0.448183;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:0.147426;cluster_membership_k10_feature:0.034262
bag8,online_shoppers_intention,TabArena_IID,0.5085433381403395,DAUC < 0.55,False,144,74,70,0.4900888209411559,0.46180411627431417,0.8285714285714286,descriptive_correlated_variants_no_ci,joint_groupby_combined__sel_combined_intersection:1.661029;joint_freq_combined__sel_combined_intersection:1.475529;target_enc_ratio__sel_combined_intersection:1.225447;joint_freq_separate:1.211363;joint_freq_separate__sel_combined_intersection:1.209874
bag8,physiochemical_protein,TabArena_IID,0.5001884949523016,DAUC < 0.55,False,135,71,64,-0.09748741388543039,0.0,0.375,descriptive_correlated_variants_no_ci,pca_train_only_10:3.794950;joint_tsne_2d_p30:0.935909;joint_tsne_2d_p50:0.858530;pca_train_only_var95:0.157866;adversarial_reweight_lgbm_raw_hard:0.124652
bag8,polish_companies_bankruptcy,TabArena_IID,0.4797271737327021,DAUC < 0.55,False,144,71,73,-1.2657602301718185,0.0,0.1780821917808219,descriptive_correlated_variants_no_ci,pseudo_label_lgbm_conf90_iter1:2.878420;pseudo_label_v2_cal_platt_wprop_conf90:2.683304;pseudo_label_v2_cal_iso_wprop_conf85:1.276481;adversarial_reweight_lgbm_cal_iso_ratio_winsorize:1.259774;pseudo_label_v2_cal_iso_wfixed_conf90:0.999623
bag8,qsar-biodeg,TabArena_IID,0.5242964850267431,DAUC < 0.55,False,144,73,71,-0.5169971795198595,-0.1030950416539009,0.4084507042253521,descriptive_correlated_variants_no_ci,pca_train_only_var95:4.536182;cluster_membership_k10_weight:3.203394;adversarial_reweight_lgbm_ratio_hard_tempered:1.915436;joint_tsne_2d_p50:1.824169;cluster_membership_k10_feature:1.759771
bag8,seismic-bumps,TabArena_IID,0.5032746248400783,DAUC < 0.55,False,144,73,71,-0.1933678073000127,-0.0583434941300457,0.28169014084507044,descriptive_correlated_variants_no_ci,pca_train_only_10:11.826341;pca_train_only_var95:5.524515;target_enc_oof_absolute:2.483860;pseudo_label_v2_cal_iso_wfixed_conf90:2.291740;target_enc_oof_diff:2.030042
bag8,shifts_weather,real_shift,0.99970015,DAUC >= 0.95,False,135,71,64,-1.336967818306725,-0.000621674775385,0.09375,descriptive_correlated_variants_no_ci,cluster_membership_k10_weight:0.451005;pca_train_only_10:0.249794;freq_ratio_log__sel_combined_union:0.009390;joint_freq_combined__sel_combined_union:0.009390;joint_freq_separate__sel_combined_union:0.009390
bag8,splice,TabArena_IID,0.4935215615848055,DAUC < 0.55,True,144,74,0,,,,absolute_only_near_perfect,
