model,method_key,method_role,family,n_sources,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,n_datasets,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,61,-3.012665878103939,-0.8908880740773674,-1.280638053257816,-0.261809151254502,0.9603829851015003,-5.211814025332183,-0.8135177308756951,17,0,44,0.2786885245901639,0.17147208426028065,0.40828746675617905,0.9959626988999606,0.004037301100039346,0.9998678606690864,0.00036495225546738427,-7.5343383459643904,1.0357693065909757,-50.918292358822406,5.247229892501691,True,61,0.9999988827818006,1.0,0.010199497515888873,0.3552824968034624,0.9999999999995458,1.0,0.0009384486569161309,0.03430551201393412,False,True,False,True,False
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,61,-2.5036751209199384,-0.556889152703411,-1.3319173407112548,-0.2086100442761579,0.9603829851015003,-4.065879448011857,-0.94147079382802,14,0,47,0.22950819672131148,0.13153147464979353,0.35498082921750024,0.9989200253262153,0.0010799746737847895,0.9999961674158098,1.3595938411409271e-05,-5.5352942815484445,0.2824042731226065,-28.46201032279591,4.692740127453567,True,61,0.9999988827818006,1.0,0.004712616758333627,0.12095716346389643,0.9999999999995458,1.0,6.751086659458397e-05,0.0016451085477805218,False,True,False,True,False
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,61,-2.23474957311307,-0.39150293790924345,-1.025486381710652,-0.0828838631015956,0.9603829851015003,-3.793459190501654,-0.6760399557244863,17,0,44,0.2786885245901639,0.17147208426028065,0.40828746675617905,0.9971525513368619,0.00284744866313807,0.9998678606690864,0.00036495225546738427,-3.54846049628004,0.2972584889283179,-28.60798310835961,4.325555354429143,True,61,0.9999988827818006,1.0,0.008200652149837642,0.27050762299811665,0.9999999999995458,1.0,0.0009384486569161309,0.03430551201393412,False,True,False,True,False
bag8,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,61,-3.0150952401213598,-0.4891799268780606,-1.063514431115446,-0.170385451281031,0.9603829851015003,-5.509973632355627,-0.5202168478870925,17,0,44,0.2786885245901639,0.17147208426028065,0.40828746675617905,0.9906560867604566,0.009343913239543478,0.9998678606690864,0.00036495225546738427,-5.776874263088557,0.1687877927518008,-63.93028713784486,1.7703987775256285,True,61,0.9999988827818006,1.0,0.01978711038962148,0.7201949186284082,0.9999999999995458,1.0,0.0009384486569161309,0.03430551201393412,False,True,False,True,False
bag8,adversarial_lgbm_feature,test_time_variant,M6_adversarial,61,-2.504851806447488,-0.5273186686143762,-1.0010516279479718,-0.1367943342794618,0.9603829851015003,-4.7327177888822884,-0.2769858240126868,13,0,48,0.21311475409836064,0.1186423985616505,0.33681295283046186,0.9859017675201838,0.014098232479816238,0.9999990150607909,3.8325841902227265e-06,-2.17536506894823,0.2659940738317568,-53.63035023808592,5.408943763654954,True,61,0.9999988827818006,1.0,0.029002078244193402,1.0,0.9999999999995458,1.0,2.628057730438441e-05,0.0004790730237778408,False,True,False,True,False
bag8,adversarial_logreg_feature,test_time_variant,M6_adversarial,61,-1.9396423607673894,-0.3895991881639924,-0.5956132536906741,-0.1576067028972929,0.9603829851015003,-3.3408919396849104,-0.5383927818498686,15,0,46,0.2459016393442623,0.14464272123647304,0.3729407034981439,0.9962634885236157,0.0037365114763842962,0.9999864040615886,4.418778163779378e-05,-3.708814212433157,0.3538608551426546,-31.47897263252763,1.7425980030820194,True,61,0.9999988827818006,1.0,0.0098068150755037,0.3437590558273553,0.9999999999995458,1.0,0.00015150096561529296,0.004993219325070697,False,True,False,True,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,61,-0.29877564135098716,-0.0605840379266062,-0.1924221581354143,0.0317853941291962,0.9603829851015003,-0.6275552194104426,0.030003936708468237,26,1,34,0.43333333333333335,0.30588142684217273,0.5675903464453843,0.9629523240524354,0.037047675947564675,0.8774695834885271,0.18314700335164552,-1.7240295634969378,0.5369754131921408,-6.788013917470633,3.826419538063738,True,61,0.9999988827818006,1.0,0.06505933337133309,1.0,0.9999999999995458,1.0,0.29303520536263283,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,M6_adversarial,61,-0.24920979443016106,0.0220633579095198,-0.21382011008680746,0.0898178528795988,0.9603829851015003,-0.6514393025625487,0.1530197137022266,31,1,29,0.5166666666666667,0.38394601733159683,0.6476870699978736,0.8899747937083897,0.11002520629161026,0.44871091349571535,0.6505582861899971,-1.2881039127927811,0.8866173758999812,-9.201137809436789,3.826419538063738,True,61,0.9999988827818006,1.0,0.17036160974184816,1.0,0.9999999999995458,1.0,0.8463283532772833,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,M6_adversarial,61,-20.671137228556194,-0.0326260923724016,-0.1520344788890689,0.0761993479395832,0.9603829851015003,-58.250533941307665,16.908259484195273,26,0,35,0.4262295081967213,0.300416928566688,0.5594484923673856,0.8622007762805268,0.1377992237194732,0.8999843157434484,0.15283870993155918,-3.723537494147228,0.6431836930863704,-1145.7379277850464,2.2246743081096856,True,61,0.9999988827818006,1.0,0.2066988355792098,1.0,0.9999999999995458,1.0,0.25297441643844276,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_ratio_hard,test_time_variant,M6_adversarial,61,-0.439115212497994,-0.079839335810256,-0.5067642684532858,0.009281489730746,0.9603829851015003,-0.8589423135873311,-0.019288111408656883,23,2,36,0.3898305084745763,0.2654914665947489,0.5256214912235491,0.9796699946975441,0.02033000530245588,0.9662776940496055,0.05873867512252924,-1.821798837848745,0.4887476928815727,-6.016452975175092,4.984542522403191,True,61,0.9999988827818006,1.0,0.03903361018071529,1.0,0.9999999999995458,1.0,0.10442431132894088,1.0,False,True,False,False,False
