model,method_key,omitted_dataset,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent
bag8,freq_enc_train_only,Amazon_employee_access,85,0.30850357853776356,0.0,0.0,0.0065033465607641,0.9705436382142211,0.07672478386967688,0.5402823732058503,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.004849153136911547,0.9951508468630884,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.695759442496541,-0.8416324664269221,7.372231395494501,True
bag8,freq_enc_train_only,Another-Dataset-on-used-Fiat-500,85,0.3973249614464884,0.0,0.0,0.008939277015388,0.9705436382142211,0.11037567198239517,0.6842742509105816,34,32,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.0036122505712923693,0.9963877494287077,0.026719405268855523,0.9864958411731388,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Bank_Customer_Churn,85,0.3975164117559284,0.0,0.0,0.008939277015388,0.9705436382142211,0.11057986121197977,0.684452962299877,34,33,18,0.6538461538461539,0.5091439205364969,0.7803420977861772,0.003597633513700182,0.9964023664862998,0.018241700004179906,0.9912333823504575,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Bioresponse,85,0.3973249614464884,0.0,0.0,0.008939277015388,0.9705436382142211,0.11037567198239517,0.6842742509105816,34,32,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.0036122505712923693,0.9963877494287077,0.026719405268855523,0.9864958411731388,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Diabetes130US,85,0.39047916118451154,0.0,0.0,0.0065033465607641,0.9705436382142211,0.1034142601872236,0.6775440621817994,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.004134256927008615,0.9958657430729914,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,E-CommereShippingData,85,0.3976602839121855,0.0,0.0,0.008939277015388,0.9705436382142211,0.11073364722999712,0.6845869205943739,34,33,18,0.6538461538461539,0.5091439205364969,0.7803420977861772,0.003586650876429792,0.9964133491235703,0.018241700004179906,0.9912333823504575,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Fitness_Club,85,0.3890205817185399,0.0,0.0,0.0065033465607641,0.9705436382142211,0.10201647692778432,0.6760246865092956,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.004244537099796364,0.9957554629002037,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.7638805478900345,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Food_Delivery_Time,85,0.39714050934234135,0.0,0.0,0.0065033465607641,0.9705436382142211,0.11017943627610788,0.6841015824085748,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.003626335753353984,0.9963736642466461,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,GiveMeSomeCredit,85,0.3973249614464884,0.0,0.0,0.008939277015388,0.9705436382142211,0.11037567198239517,0.6842742509105816,34,32,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.0036122505712923693,0.9963877494287077,0.026719405268855523,0.9864958411731388,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,HR_Analytics_Job_Change_of_Data_Scientists,85,0.3931742885454051,0.0,0.0,0.0065033465607641,0.9705436382142211,0.10607600840372094,0.6802725686870892,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.0039292625725670174,0.996070737427433,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.7739933822691094,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,Is-this-a-good-customer,85,0.365812692284795,0.0,0.0,0.0065033465607641,0.9705436382142211,0.08385824029779176,0.6477671442717983,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.0058087861012387585,0.9941912138987613,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.695759442496541,-0.8416324664269221,7.549817547241608,True
bag8,freq_enc_train_only,MIC,85,0.3105928273818471,0.0,0.0,0.0065033465607641,0.9705436382142211,0.07579883172703478,0.5453868230366594,33,33,19,0.6346153846153846,0.48955895631142476,0.7637563889572885,0.005068862452640374,0.9949311375473596,0.03519711053353114,0.9817582999958201,-0.08515533949787593,0.695759442496541,-0.8416324664269221,7.549817547241608,True
