estimator,model,method_key,method_role,family,model_roster_datasets,execution_n_datasets,execution_coverage_pct,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
masked_lift_pct,bag8,joint_freq_combined,test_time_variant,M1_joint_freq,92,92,100.0,6,194,86,0.45557692480713663,0.0,0.0,0.0260782398857177,0.9601463714394649,0.15370042281865004,0.7574534267956232,37,31,18,0.6727272727272727,0.5329289517645851,0.7931918831325925,0.0017677908004061565,0.9982322091995939,0.007226916766913864,0.9967720984450217,-0.0729909809842535,1.2190069622699145,-1.4925030793981184,8.431758287573262,True,0.23219971789982546,0.25456187525848656,0.9982322091995939,1.0,0.17344600240593275,1.0,0.9990659494845124,1.0,True,False,False,False,False
masked_lift_pct,bag8,freq_enc_train_only,train_only_version,baselines,92,92,100.0,6,194,86,0.3914520882799813,0.0,0.0,0.0053582204627502,0.9601463714394649,0.11278986598709168,0.6701143105728709,34,33,19,0.6415094339622641,0.49803322399056665,0.7685690531287002,0.0032249960819420204,0.996775003918058,0.026719405268855523,0.9864958411731388,-0.0799304842537589,0.853592999062619,-0.8416324664269221,7.52796500420011,True,0.23219971789982546,0.46117443971770894,0.9982322091995939,1.0,0.3483848807544543,1.0,0.9990659494845124,1.0,True,False,False,False,False
masked_lift_pct,bag8,joint_freq_separate,test_time_variant,M1_joint_freq,92,92,100.0,6,194,86,0.3609545176639773,0.0,0.0,0.0065033465607641,0.9601463714394649,0.08129246452889044,0.6406165707990641,35,32,19,0.6481481481481481,0.5062378617592178,0.7731881159015285,0.006016970946784786,0.9939830290532152,0.020111782047858344,0.9900828366359659,-0.0824440750669646,1.171046246548014,-2.2789062947086625,7.564213841138066,True,0.27050777334662157,0.8544098744434396,0.9982322091995939,1.0,0.3483848807544543,1.0,0.9990659494845124,1.0,True,False,False,False,False
masked_lift_pct,bag8,joint_freq_combined__sel_combined_intersection,test_time_variant,selective,92,92,100.0,6,194,86,0.26358411009430843,0.0,-3.169109347156883e-05,0.0008353530793474,0.9601463714394649,0.052442957774652244,0.4747252624139646,42,9,35,0.5454545454545454,0.4279049290065848,0.6594015897233974,0.007514104815183933,0.992485895184816,0.24719113684775001,0.8189841011301693,-0.21650379813895182,1.0038921184454044,-1.2559324258492155,5.443936356439835,True,0.27050777334662157,1.0,0.9982322091995939,1.0,0.9999999999999998,1.0,0.9739581916817598,1.0,True,False,False,False,False
masked_lift_pct,bag8,joint_freq_combined__sel_combined_union,test_time_variant,selective,92,92,100.0,6,194,86,0.2612554929920041,0.00032565577135125,0.0,0.0514266749739578,0.9601463714394649,-0.12522816888230714,0.6477391548663154,46,7,33,0.5822784810126582,0.46586989780219784,0.6923293596033154,0.0912574616990374,0.9087425383009626,0.08830527653008212,0.9426698221270994,-0.1172856414781226,1.1929638849992055,-9.865746125620095,7.828387921338188,True,0.9999999995529569,1.0,0.962197981730431,1.0,0.7479976364901074,1.0,0.9990659494845124,1.0,False,False,False,False,False
masked_lift_pct,bag8,joint_freq_separate__sel_combined_intersection,test_time_variant,selective,92,92,100.0,6,194,86,0.252222630828642,2.0540007373929575e-05,0.0,0.005935387326011,0.9601463714394649,0.018081987538774047,0.48636327411850994,44,9,33,0.5714285714285714,0.45350964480908457,0.6836840285792658,0.017534837942270766,0.9824651620577293,0.12715233307385,0.9144695132230443,-0.2659472768339036,0.9788605671876831,-2.208025105476259,6.866942770243468,True,0.5050033327373981,1.0,0.9982322091995939,1.0,0.9999999999999998,1.0,0.9990659494845124,1.0,True,False,False,False,False
masked_lift_pct,bag8,freq_ratio_v2_ratio_ungated,test_time_variant,M2_freq_ratio,92,92,100.0,6,194,86,0.24712548585295818,0.0,0.0,0.0,0.9601463714394649,-0.027620470106729744,0.5218714418126461,31,30,25,0.5535714285714286,0.4147166627524568,0.686563916718417,0.038638466516542014,0.961361533483458,0.25220188001141275,0.8251590235081576,-0.19731098999850216,1.251497819090623,-3.56803035688646,9.274724258162136,True,0.9273231963970083,1.0,0.9959428836087623,1.0,0.9999999999999998,1.0,0.9739581916817598,1.0,False,False,False,False,False
masked_lift_pct,bag8,freq_ratio_log,test_time_variant,M2_freq_ratio,92,92,100.0,6,194,86,0.20784359911148476,0.0,0.0,0.0,0.9601463714394649,-0.04374403547532507,0.4594312336982946,33,29,24,0.5789473684210527,0.44083862657846035,0.7085659233267534,0.05208391339722021,0.9479160866027798,0.14462187355451026,0.9075747587917908,-0.22500379516289537,0.7627346824037556,-3.282755517022684,8.357139529457397,True,0.9999999995529569,1.0,0.9891298294985528,1.0,0.9999999999999998,1.0,0.9990659494845124,1.0,False,False,False,False,False
masked_lift_pct,bag8,joint_freq_separate__sel_combined_union,test_time_variant,selective,92,92,100.0,6,194,86,0.17604103455681133,0.0005244323971029499,0.0,0.0386914439893517,0.9601463714394649,-0.2070948739564956,0.5591769430701182,47,7,32,0.5949367088607594,0.4785248494062217,0.7040105359015922,0.18176670553039664,0.8182332944696034,0.057330177872900664,0.9644182956523544,-0.1942822233029063,1.3240392236228287,-9.865746125620095,7.349068382290359,True,0.9999999995529569,1.0,0.8792954806240514,1.0,0.5896818295498354,1.0,0.9990659494845124,1.0,False,False,False,False,False
masked_lift_pct,bag8,freq_ratio_log__sel_combined_intersection,test_time_variant,selective,92,92,100.0,6,194,86,0.1692903623766598,0.0,-0.0003162236035135,0.0005689213864234,0.9601463714394649,-0.06539356199430324,0.4039742867476228,41,9,36,0.5324675324675324,0.41521324612862104,0.6471488950644864,0.07758537531406476,0.9224146246859353,0.32439558115532247,0.75280886315225,-0.2592590285900605,0.9386562989223225,-3.474194985096425,6.790808628476981,True,0.9999999995529569,1.0,0.9695452989399611,1.0,0.9999999999999998,1.0,0.910961985663227,1.0,False,False,False,False,False
