model,method_key,dataset,dataset_lift_pct,variant_mean_all_pct,variant_mean_without_dataset_pct,mean_change_when_removed_pct,influence_direction,absolute_influence_rank
bag8,freq_enc_train_only,folktables_travel_time_covid,-0.8416324664269221,0.3927049037552501,0.40722651987504044,0.01452161611979036,pulls_mean_down,8.0
bag8,freq_enc_train_only,tabred_homesite__gap_far,-0.8091698970029834,0.3927049037552501,0.4068446072935823,0.014139703538332216,pulls_mean_down,9.0
bag8,freq_enc_train_only,website_phishing,-0.6805398360412407,0.3927049037552501,0.4053313124587382,0.012626408703488134,pulls_mean_down,10.0
bag8,freq_enc_train_only,airfoil_self_noise,-0.5772989222510714,0.3927049037552501,0.4041167134729715,0.011411809717721433,pulls_mean_down,11.0
bag8,freq_enc_train_only,folktables_mobility,-0.1444816651453012,0.3927049037552501,0.39902474574231545,0.006319841987065367,pulls_mean_down,12.0
bag8,freq_enc_train_only,synthetic_large_test,-0.1441402878255019,0.3927049037552501,0.3990207295385531,0.006315825783303031,pulls_mean_down,13.0
bag8,freq_enc_train_only,diabetes_hospital,-0.1373568357316941,0.3927049037552501,0.3989409242198024,0.006236020464552294,pulls_mean_down,14.0
bag8,freq_enc_train_only,synthetic_small_test,-0.1338886670090184,0.3927049037552501,0.3989001222348298,0.006195218479579712,pulls_mean_down,15.0
bag8,freq_enc_train_only,tabred_sberbank__gap_near,-0.1060547604743441,0.3927049037552501,0.3985726645108924,0.005867760755642326,pulls_mean_down,16.0
bag8,freq_enc_train_only,synthetic_label_shift,-0.0538062080331737,0.3927049037552501,0.3979579756586434,0.005253071903393303,pulls_mean_down,18.0
bag8,freq_enc_train_only,folktables_travel_time,-0.0455555989256133,0.3927049037552501,0.3978609096691426,0.005156005913892536,pulls_mean_down,19.0
bag8,freq_enc_train_only,bank-marketing,-0.0444517463861092,0.3927049037552501,0.3978479231686779,0.005143019413427818,pulls_mean_down,20.0
bag8,freq_enc_train_only,tabred_cooking_time,-0.0401318925116829,0.3927049037552501,0.3977971013583905,0.005092197603140447,pulls_mean_down,21.0
bag8,freq_enc_train_only,E-CommereShippingData,-0.028502409584252,0.3927049037552501,0.3976602839121855,0.004955380156935418,pulls_mean_down,23.0
bag8,freq_enc_train_only,synthetic_partial_shift,-0.0190909565939431,0.3927049037552501,0.3975495609358289,0.004844657180578804,pulls_mean_down,24.0
bag8,freq_enc_train_only,folktables_employment,-0.0166335660834101,0.3927049037552501,0.39752065045923435,0.004815746703984269,pulls_mean_down,25.0
bag8,freq_enc_train_only,Bank_Customer_Churn,-0.0162732763024018,0.3927049037552501,0.3975164117559284,0.004811508000678311,pulls_mean_down,26.0
bag8,freq_enc_train_only,tabred_sberbank,-0.012939500285824,0.3927049037552501,0.39747719086161565,0.004772287106365569,pulls_mean_down,27.0
bag8,freq_enc_train_only,synthetic_shift_0.0,-0.0044521976637818,0.3927049037552501,0.39737734024253285,0.004672436487282772,pulls_mean_down,28.0
bag8,freq_enc_train_only,Another-Dataset-on-used-Fiat-500,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,29.0
bag8,freq_enc_train_only,Bioresponse,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,30.0
bag8,freq_enc_train_only,GiveMeSomeCredit,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,31.0
bag8,freq_enc_train_only,concrete_compressive_strength,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,32.0
bag8,freq_enc_train_only,jm1,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,33.0
bag8,freq_enc_train_only,tabred_delivery_eta,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,34.0
bag8,freq_enc_train_only,tabred_delivery_eta__gap_far,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,35.0
bag8,freq_enc_train_only,tabred_delivery_eta__gap_maxdiff,0.0,0.3927049037552501,0.3973249614464884,0.0046200576912383,pulls_mean_down,36.0
