model,dataset,method_key,method_role,family,dataset_family,task_type,n_folds,single_fold,n_train,n_test,n_features,n_cat,n_num,cat_frac,domain_auc,mean_ks,shift_bin,source_id,source_dataset,err_base_mean,err_method_mean,abs_delta_mean,near_perfect_base,relative_mask_reason,primary_effect_unmasked_pct,primary_effect_pct,sensitivity_effect_unmasked_pct,sensitivity_effect_pct
bag8,APSFailure,adversarial_rf_feature,test_time_variant,M6_adversarial,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.007919040264159,-0.0001236410732551,True,near_perfect_baseline,-1.586077508377016,,-1.5455847318962253,
bag8,APSFailure,cluster_membership_k10_both,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077820734998067,1.3325691097206455e-05,True,near_perfect_baseline,0.1709430238384218,,0.2930769854796413,
bag8,APSFailure,cluster_membership_k10_both_cumshift,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.007275101935392,0.0005202972555119,True,near_perfect_baseline,6.674414520285521,,6.845008712953305,
bag8,APSFailure,cluster_membership_k10_feature,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079879602749693,-0.0001925610840654,True,near_perfect_baseline,-2.470188881284814,,-2.630806558212113,
bag8,APSFailure,cluster_membership_k10_feature_cumshift,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0074044151490996,0.0003909840418042,True,near_perfect_baseline,5.015574343651952,,4.2414069350297785,
bag8,APSFailure,cluster_membership_k10_weight,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0080055896241903,-0.0002101904332864,True,near_perfect_baseline,-2.696339573368687,,-2.922742355338374,
bag8,APSFailure,cluster_membership_k15_both,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0075819858107406,0.0002134133801632,True,near_perfect_baseline,2.7376837918993515,,2.353596144149489,
bag8,APSFailure,cluster_membership_k5_both,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0084202127743491,-0.0006248135834452,True,near_perfect_baseline,-8.015158276619635,,-8.704539142683885,
bag8,APSFailure,cluster_membership_k5_feature,test_time_variant,M20_cluster_membership,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.00824634874703,-0.0004509495561261,True,near_perfect_baseline,-5.784816724361623,,-6.317803671005287,
bag8,APSFailure,freq_enc_train_only,train_only_version,baselines,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,freq_ratio_log,test_time_variant,M2_freq_ratio,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,freq_ratio_log__sel_combined_intersection,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079898989131166,-0.0001944997222127,True,near_perfect_baseline,-2.495057885421702,,-2.537956374277425,
bag8,APSFailure,freq_ratio_log__sel_combined_union,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078615815677474,-6.618237684356358e-05,True,near_perfect_baseline,-0.8489927869350028,,-0.7682346908541916,
bag8,APSFailure,freq_ratio_v2_both_gated,test_time_variant,M2_freq_ratio,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,freq_ratio_v2_diff_gated,test_time_variant,M2_freq_ratio,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,freq_ratio_v2_ratio_gated,test_time_variant,M2_freq_ratio,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,freq_ratio_v2_ratio_ungated,test_time_variant,M2_freq_ratio,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0077953991909039,0.0,True,near_perfect_baseline,0.0,,0.0,
bag8,APSFailure,groupby_shift_cohen_d,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0072746261521699,0.0005207730387339,True,near_perfect_baseline,6.680517905249234,,5.729535776111065,
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_intersection,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0079898989131166,-0.0001944997222127,True,near_perfect_baseline,-2.495057885421702,,-2.537956374277425,
bag8,APSFailure,groupby_shift_cohen_d__sel_combined_union,test_time_variant,selective,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0078710775991183,-7.567840821446718e-05,True,near_perfect_baseline,-0.970808631619186,,-1.3049590165437606,
bag8,APSFailure,groupby_shift_cohen_d_min10,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0075525611299609,0.0002428380609429,True,near_perfect_baseline,3.1151459341085928,,2.5150581178252183,
bag8,APSFailure,groupby_shift_ratio_log,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0074849868449667,0.0003104123459371,True,near_perfect_baseline,3.98199422935694,,3.711607590915978,
bag8,APSFailure,groupby_shift_ratio_raw,test_time_variant,M14_groupby,TabArena_IID,classification,3,False,50666,25334,170,0,170,0.0,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,,0.0077953991909039,0.0075225555525437,0.0002728436383601,True,near_perfect_baseline,3.500059864523069,,2.502031384085223,
