model,pair_label,pair_quality,joint_key,train_only_key,dataset,err_joint,err_train_only,err_inductive,near_perfect_base,n_common_folds,total_vs_inductive_pct,train_only_vs_inductive_pct,additive_test_time_premium_pct,direct_test_time_premium_pct,absolute_joint_minus_train_only_improvement,absolute_total_improvement,dataset_family,domain_auc,mean_ks,shift_bin,source_id,source_dataset
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,APSFailure,0.007795399190903867,0.007795399190903867,0.007795399190903867,True,3,,,,,0.0,0.0,TabArena_IID,0.5018079,0.0059871498851508,DAUC < 0.55,source::APSFailure,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Amazon_employee_access,0.1461515967812388,0.1435296562432129,0.15525080906850117,False,3,5.86097576035661,7.5498175472416085,-1.6888417868849974,-1.8267587386839261,-0.002621940538025891,0.009099212287262376,TabArena_IID,0.4973770565852067,0.0,DAUC < 0.55,source::Amazon_employee_access,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Another-Dataset-on-used-Fiat-500,748.4780342430635,748.4780342430635,748.4780342430635,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5250604059451488,0.0313157709499172,DAUC < 0.55,source::Another-Dataset-on-used-Fiat-500,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Bank_Customer_Churn,0.13416902504821113,0.13416902504821113,0.1341471949045324,False,3,-0.016273276302401808,-0.016273276302401808,0.0,0.0,0.0,-2.1830143678736036e-05,TabArena_IID,0.4985240625,0.0158125,DAUC < 0.55,source::Bank_Customer_Churn,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Bioresponse,0.12509248702085657,0.12509248702085657,0.12509248702085657,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5301520014716704,0.0098021704294174,DAUC < 0.55,source::Bioresponse,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Diabetes130US,0.35034766255869343,0.350886499007689,0.3529402335997825,False,3,0.7345637573382799,0.5818930222680003,0.15267073507027962,0.15356431510456675,0.0005388364489955499,0.0025925710410890646,TabArena_IID,0.5012846750000001,0.0039252033937267,DAUC < 0.55,source::diabetes_130_us,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,E-CommereShippingData,0.2595955419785389,0.2588196632027799,0.25874591438248,False,3,-0.3283636760358515,-0.028502409584273535,-0.29986126645157796,-0.2997758231186381,-0.0007758787757590202,-0.0008496275960588884,TabArena_IID,0.500688337854552,0.0144240392331084,DAUC < 0.55,source::E-CommereShippingData,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Fitness_Club,0.19657491478511813,0.1966622606297654,0.19806031347407185,False,3,0.7499729061815205,0.7058722768756299,0.04410062930589056,0.04441413638162216,8.734584464728523e-05,0.0014853986889537263,TabArena_IID,0.5044166666666666,0.0338611518035256,DAUC < 0.55,source::Fitness_Club,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,Food_Delivery_Time,7.611504315683697,7.6113497891990045,7.61254331638673,False,3,0.013648535842104263,0.015678428852497563,-0.0020298930103932996,-0.0020302113156299762,-0.00015452648469249652,0.0010390007030327553,TabArena_IID,0.4998231287092426,0.0079414057802949,DAUC < 0.55,source::Food_Delivery_Time,
bag8,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,GiveMeSomeCredit,0.13467859812932512,0.13467859812932512,0.13467859812932512,False,3,0.0,0.0,0.0,0.0,0.0,0.0,TabArena_IID,0.5044638750000001,0.0040447365644625,DAUC < 0.55,source::GiveMeSomeCredit,
