model,method_key,method_role,family,n_datasets,spearman_rho,spearman_p,n_low_dauc,n_high_dauc,low_mean_lift_pct,high_mean_lift_pct,high_minus_low_mean_lift_pct,spearman_p_bh,spearman_p_holm,positive_shift_trend_fdr,negative_shift_trend_fdr
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,86,0.12884740390060376,0.2370737030318438,51,23,-3.484933129687736,-0.9294494112100007,2.5554837184777353,0.5020384299497869,1.0,False,False
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,86,-0.008188133048583408,0.9403549672375966,51,23,-2.2227878487202353,-4.989276590206857,-2.7664887414866217,0.9812399658131442,1.0,False,False
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,86,0.17733399567848984,0.1023769965618973,51,23,-2.1553369017506565,-3.5002501877107903,-1.3449132859601338,0.2887382232705375,1.0,False,False
bag8,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,86,0.3550363156809644,0.0007957308577751619,51,23,-3.4710614153654222,-0.5125934949806502,2.958467920384772,0.008184660251401665,0.1042407423685462,True,False
bag8,adversarial_lgbm_feature,test_time_variant,M6_adversarial,86,0.3654249504600206,0.0005407958761490431,51,23,-3.0390884054497027,0.2552932351314695,3.294381640581172,0.006489550513788518,0.07192585152782274,True,False
bag8,adversarial_logreg_feature,test_time_variant,M6_adversarial,86,0.3986308048992585,0.00014382386091484184,51,23,-2.2645993002363998,-0.031433197117961185,2.2331661031184384,0.003451772661956204,0.019991516667163017,True,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,86,-0.16165369156103024,0.13702088766575118,51,23,-0.2768245486443013,-0.8131532267444254,-0.5363286781001241,0.35874559679760315,1.0,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,M6_adversarial,86,-0.24477205661456514,0.02312418737799565,51,23,-0.22778024351496834,-0.7916038156046442,-0.5638235720896758,0.07928292815312794,1.0,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,M6_adversarial,86,-0.5731032039067901,8.088233796935327e-09,51,23,-0.15161946045370112,-215.3808840139011,-215.2292645534474,1.164705666758687e-06,1.164705666758687e-06,False,True
bag8,adversarial_reweight_lgbm_ratio_hard,test_time_variant,M6_adversarial,86,-0.0666619431321709,0.5419742651578525,51,23,-0.49803489533396683,-0.5940279038053298,-0.09599300847136294,0.7628245797911795,1.0,False,False
bag8,adversarial_reweight_lgbm_ratio_hard_tempered,test_time_variant,M6_adversarial,86,-0.2880366818308391,0.007160106573872557,51,23,0.13427230421992198,-0.5761251771538215,-0.7103974813737435,0.03620389955131602,0.8377324691430892,False,True
bag8,adversarial_reweight_lgbm_ratio_normalize,test_time_variant,M6_adversarial,86,-0.2632385610878494,0.014332991810290985,51,23,-0.6208152194982028,-2.6491340728061785,-2.028318853307976,0.05897002344805433,1.0,False,False
bag8,adversarial_reweight_lgbm_ratio_winsorize,test_time_variant,M6_adversarial,86,-0.2085565652962716,0.053977146402484,51,23,-0.4283524594361726,-1.1742040784019374,-0.7458516189657648,0.15862671595832034,1.0,False,False
bag8,adversarial_reweight_lgbm_ratio_winsorize_tempered,test_time_variant,M6_adversarial,86,-0.38148011330038023,0.0002900857256992105,51,23,0.07285678395363807,-1.1637288043970768,-1.2365855883507149,0.005221543062585789,0.03974174442079184,False,True
bag8,adversarial_reweight_lgbm_raw_hard,test_time_variant,M6_adversarial,86,-0.06327828006095054,0.5627158747651877,51,23,-0.15675887715543824,-0.13963612875221929,0.01712274840321895,0.7791450573671829,1.0,False,False
bag8,adversarial_rf_feature,test_time_variant,M6_adversarial,86,0.2554991270818694,0.01758313506952174,51,23,-3.4893668524581423,-0.14099511866570633,3.348371733792436,0.06663082763187185,1.0,False,False
bag8,cluster_membership_k10_both,test_time_variant,M20_cluster_membership,86,0.07101104082156708,0.5158770030776287,51,23,-1.3977941292321292,-1.4919633341165806,-0.09416920488445135,0.7628245797911795,1.0,False,False
bag8,cluster_membership_k10_both_cumshift,test_time_variant,M20_cluster_membership,86,0.009718095625135328,0.9292366979769493,51,23,-1.0704486511388311,-1.9691368658479804,-0.8986882147091493,0.9767159453188371,1.0,False,False
bag8,cluster_membership_k10_feature,test_time_variant,M20_cluster_membership,86,0.21826521670797136,0.04349748635041987,51,23,-1.004040143954157,0.05628599871752749,1.0603261426716846,0.1304924590512596,1.0,False,False
bag8,cluster_membership_k10_feature_cumshift,test_time_variant,M20_cluster_membership,86,0.285923561759934,0.00761443355650462,51,23,-1.1317258747638517,0.20459498335609536,1.336320858119947,0.03654928107122217,0.8756598589980312,True,False
bag8,cluster_membership_k10_weight,test_time_variant,M20_cluster_membership,86,-0.22442284386792108,0.037770659089359775,51,23,-0.36152598172006023,-1.9564528999937398,-1.5949269182736796,0.11823858497538713,1.0,False,False
bag8,cluster_membership_k15_both,test_time_variant,M20_cluster_membership,86,0.00235160914544091,0.9828557097568085,51,23,-1.3010202247321934,-2.133854610904481,-0.8328343861722878,0.98543503949856,1.0,False,False
bag8,cluster_membership_k5_both,test_time_variant,M20_cluster_membership,86,-0.07193657373824663,0.5104070606684373,51,23,-0.9939424597288437,-2.276036062766274,-1.2820936030374304,0.7628245797911795,1.0,False,False
bag8,cluster_membership_k5_feature,test_time_variant,M20_cluster_membership,86,0.23396149943778177,0.030150473876876274,51,23,-0.8840398447050912,-0.17172380941044577,0.7123160352946455,0.10096902879698101,1.0,False,False
bag8,freq_enc_train_only,train_only_version,baselines,86,-0.1831455352759293,0.09143475176559031,51,23,0.6567850404113318,0.01779870020600866,-0.6389863402053231,0.2633320850849001,1.0,False,False
bag8,freq_ratio_log,test_time_variant,M2_freq_ratio,86,-0.14121136592646016,0.19467000333615475,51,23,0.3844130296319949,0.06730513759427273,-0.31710789203772216,0.4521367819420369,1.0,False,False
bag8,freq_ratio_log__sel_combined_intersection,test_time_variant,selective,86,-0.08807938616007265,0.4199942855195504,51,23,0.32271017602334906,0.04899730094642779,-0.27371287507692127,0.7286647845158465,1.0,False,False
bag8,freq_ratio_log__sel_combined_union,test_time_variant,selective,86,-0.06606083771579666,0.545631470267302,51,23,0.17503359255917728,0.01972941650950273,-0.15530417604967456,0.7628245797911795,1.0,False,False
bag8,freq_ratio_v2_both_gated,test_time_variant,M2_freq_ratio,86,0.11673187357070106,0.28446158682565875,51,23,-0.06070409107607333,0.15291517806534238,0.2136192691414157,0.5851781214699265,1.0,False,False
bag8,freq_ratio_v2_diff_gated,test_time_variant,M2_freq_ratio,86,0.14413912410885293,0.18548400221367792,51,23,-0.020091213819124373,0.15658295048294613,0.1766741643020705,0.4378638740781905,1.0,False,False
bag8,freq_ratio_v2_ratio_gated,test_time_variant,M2_freq_ratio,86,0.05995074535654519,0.5834732113242228,51,23,-0.0290719893781029,0.1389367806330343,0.1680087700111372,0.786703690625761,1.0,False,False
bag8,freq_ratio_v2_ratio_ungated,test_time_variant,M2_freq_ratio,86,-0.1319976832554885,0.2257064799216467,51,23,0.4192002140259276,0.1451383850882652,-0.2740618289376624,0.4924505016472292,1.0,False,False
bag8,groupby_shift_cohen_d,test_time_variant,M14_groupby,83,-0.07158534542176066,0.5201535514818704,51,20,0.0827308737329612,-3.141495260921255,-3.2242261346542165,0.7628245797911795,1.0,False,False
bag8,groupby_shift_cohen_d__sel_combined_intersection,test_time_variant,selective,86,0.021743446792653918,0.8424870277327112,51,23,0.1562635326468752,0.12525303069787525,-0.031010501948999958,0.9260926106374842,1.0,False,False
bag8,groupby_shift_cohen_d__sel_combined_union,test_time_variant,selective,86,0.1096902692753868,0.31471473911237463,51,23,0.03880275179647196,0.04153184404151547,0.0027290922450435087,0.5983329973490829,1.0,False,False
bag8,groupby_shift_cohen_d_min10,test_time_variant,M14_groupby,86,-0.10568292850257904,0.3328260123065344,51,23,0.09474069652458873,-2.9088193248286442,-3.003560021353233,0.6108783641009402,1.0,False,False
bag8,groupby_shift_ratio_log,test_time_variant,M14_groupby,84,-0.17439644247092173,0.1126022005636706,51,21,0.14786250333523,-3.2699681364558093,-3.417830639791039,0.3059380543616711,1.0,False,False
bag8,groupby_shift_ratio_raw,test_time_variant,M14_groupby,85,-0.1457745205196094,0.18312367994501771,51,22,0.07801352036442852,-2.744499101834083,-2.8225126221985115,0.4378638740781905,1.0,False,False
bag8,groupby_train_only,train_only_version,baselines,81,-0.06075515766656104,0.5900277679693207,50,19,0.36271003819435843,-3.4014491820466244,-3.764159220240983,0.786703690625761,1.0,False,False
bag8,joint_freq_combined,test_time_variant,M1_joint_freq,86,-0.10790514053960029,0.3227025859950141,51,23,0.6437628535205039,0.27349502057360614,-0.37026783294689775,0.603495745237429,1.0,False,False
bag8,joint_freq_combined__sel_combined_intersection,test_time_variant,selective,86,-0.06863218342244477,0.5300719101794358,51,23,0.4831019311559909,-0.05968880696444876,-0.5427907381204397,0.7628245797911795,1.0,False,False
bag8,joint_freq_combined__sel_combined_union,test_time_variant,selective,86,-0.11461692320974702,0.2933377285931381,51,23,0.4695102148882072,-0.039456954249923674,-0.5089671691381309,0.5866754571862762,1.0,False,False
bag8,joint_freq_separate,test_time_variant,M1_joint_freq,86,-0.1763802790358985,0.10426658062547188,51,23,0.6619437383412066,-0.0033639939104182816,-0.6653077322516249,0.2887382232705375,1.0,False,False
bag8,joint_freq_separate__sel_combined_intersection,test_time_variant,selective,86,-0.2324687242703516,0.031249484511734094,51,23,0.5269490948188775,-0.10431870221003807,-0.6312677970289156,0.10227104022022067,1.0,False,False
bag8,joint_freq_separate__sel_combined_union,test_time_variant,selective,86,-0.1551244124311593,0.1538212923505513,51,23,0.46113140533171915,-0.23057704734491336,-0.6917084526766325,0.381901139628955,1.0,False,False
bag8,joint_groupby_combined,test_time_variant,M14_groupby,81,-0.06843593277339086,0.5438093836554629,50,19,0.3072389034018413,-3.4815944565649573,-3.7888333599667985,0.7628245797911795,1.0,False,False
bag8,joint_groupby_combined__sel_combined_intersection,test_time_variant,selective,86,-0.07156154826630513,0.5126198837879087,51,23,0.1355476957982909,-0.004847437722578542,-0.14039513352086944,0.7628245797911795,1.0,False,False
bag8,joint_groupby_combined__sel_combined_union,test_time_variant,selective,85,0.1600841515036189,0.14332876617905432,51,22,0.02631994540443423,0.10142261951625876,0.07510267411182453,0.36209372508392673,1.0,False,False
bag8,joint_groupby_mean_only,test_time_variant,M14_groupby,85,-0.11625135184731883,0.2893664219088033,51,22,0.21691406975318384,-3.149081343607819,-3.3659954133610026,0.5866754571862762,1.0,False,False
bag8,joint_groupby_separate,test_time_variant,M14_groupby,77,-0.06372088629556157,0.581933364546786,50,15,0.27477455412928525,-4.281359962904513,-4.556134517033798,0.786703690625761,1.0,False,False
bag8,joint_pca_10,test_time_variant,M3_joint_pca,86,-0.1296242752818045,0.23423428196151633,51,23,-1.1704858199585773,-0.7589460819894842,0.41153973796909304,0.5020384299497869,1.0,False,False
bag8,joint_pca_5,test_time_variant,M3_joint_pca,86,-0.10518218971318448,0.3351346580831547,51,23,-1.0943763056819942,-0.8800644357349073,0.21431186994708684,0.6108783641009402,1.0,False,False
bag8,joint_pca_var90,test_time_variant,M3_joint_pca,86,-0.011191604095368915,0.9185414648544837,51,23,-2.0391719608868524,-0.3045702326650236,1.7346017282218287,0.9767159453188371,1.0,False,False
bag8,joint_pca_var95,test_time_variant,M3_joint_pca,86,-0.003843867398156243,0.971980014949131,51,23,-2.199412556486639,-0.2636449475944278,1.9357676088922113,0.98543503949856,1.0,False,False
bag8,joint_scaling,test_time_variant,M5_joint_scaling,86,-0.06606646687406863,0.5455971660406433,51,23,0.009311858728325557,0.03010881876389783,0.02079696003557227,0.7628245797911795,1.0,False,False
bag8,joint_tsne_2d_p30,test_time_variant,M3b_joint_tsne,74,0.018356391389071372,0.8766381347864061,50,18,-1.3579315889304113,-4.084154984920097,-2.726223395989686,0.9491420406709961,1.0,False,False
bag8,joint_tsne_2d_p50,test_time_variant,M3b_joint_tsne,74,0.14636182504161838,0.2133779387465095,50,18,-1.7322566926509018,-3.3025316932253914,-1.5702750005744897,0.472714202761498,1.0,False,False
bag8,joint_tsne_3d_p30,test_time_variant,M3b_joint_tsne,74,0.03542279404563128,0.7644634429291713,50,18,-2.0017138330891733,-3.9690713723403834,-1.9673575392512102,0.8865766993591108,1.0,False,False
