model,method_key,complete_five_levels,effect_shift_0_0_pct,effect_shift_0_5_pct,effect_shift_1_0_pct,effect_shift_3_0_pct,effect_shift_5_0_pct,shift5_minus_shift0_pct,endpoint_direction,strictly_increasing,strictly_decreasing,nondecreasing,nonincreasing,exceeds_baseline_at_every_level,exceeds_baseline_at_any_level,below_baseline_at_every_level
bag8,freq_ratio_v2_ratio_gated,True,0.0,0.0449454157467407,0.0268414645788663,-0.0364206143530085,-0.0163762726855115,-0.0163762726855115,smaller_benefit,False,False,False,False,False,True,False
bag8,freq_ratio_v2_ratio_ungated,True,0.0960461205042284,0.0449454157467407,0.0268414645788663,-0.0364206143530085,-0.0163762726855115,-0.1124223931897399,smaller_benefit,False,False,False,False,False,True,False
bag8,groupby_shift_cohen_d,True,-0.0293205503604934,0.1368718186054749,-0.0431486780277629,-0.1877928022057275,0.011103262587632,0.0404238129481254,larger_benefit,False,False,False,False,False,True,False
bag8,groupby_shift_cohen_d__sel_combined_intersection,True,0.1934697165287032,-0.0525584526530724,-0.1251986111810129,-0.1356818448547124,-0.1529838292416448,-0.34645354577034804,smaller_benefit,False,True,False,True,False,True,False
bag8,groupby_shift_cohen_d__sel_combined_union,True,0.1150929992759108,0.0518012201052377,-0.0808776765488625,-0.2084834514823733,-0.0272050726024778,-0.1422980718783886,smaller_benefit,False,False,False,False,False,True,False
bag8,groupby_shift_cohen_d_min10,True,-0.0293205503604934,0.1368718186054749,-0.0431486780277629,-0.1877928022057275,0.011103262587632,0.0404238129481254,larger_benefit,False,False,False,False,False,True,False
bag8,groupby_shift_ratio_log,True,-0.0293205503604934,0.0684033401609444,-0.0194707004498398,-0.201414872717597,0.2645736975103318,0.2938942478708252,larger_benefit,False,False,False,False,False,True,False
bag8,groupby_shift_ratio_raw,True,-0.0293205503604934,0.0684033401609444,-0.0194707004498398,-0.201414872717597,0.2645736975103318,0.2938942478708252,larger_benefit,False,False,False,False,False,True,False
bag8,joint_freq_combined,True,0.1252682797561138,0.0643973357139354,-0.1001958230570017,-0.0498128768109631,0.043481540680381,-0.08178673907573279,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_freq_combined__sel_combined_intersection,True,-0.0701200633900912,0.0514266749739578,-0.1163183659449414,-0.10130572974081,-0.1497734476994406,-0.07965338430934939,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_freq_combined__sel_combined_union,True,0.1452498740593951,0.0514266749739578,-0.1163183659449414,-0.10130572974081,-0.1497734476994406,-0.2950233217588357,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_freq_separate,True,0.1398711601230132,0.0442370369116291,-0.0075474055351805,-0.0897677805462738,0.1564686734544736,0.016597513331460395,larger_benefit,False,False,False,False,False,True,False
bag8,joint_freq_separate__sel_combined_intersection,True,0.0801723549846896,0.1158728644006612,-0.0831579565190804,0.005935387326011,0.1478771601563224,0.06770480517163281,larger_benefit,False,False,False,False,False,True,False
bag8,joint_freq_separate__sel_combined_union,True,0.1912641158444205,0.1158728644006612,-0.0831579565190804,0.005935387326011,0.1478771601563224,-0.04338695568809808,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_groupby_combined,True,0.0499990816830299,-0.0166265469120682,-0.2128769818664254,-0.1288193008969491,-0.054218853040445,-0.1042179347234749,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_groupby_combined__sel_combined_intersection,True,0.0704152367159597,-0.0716439697745306,-0.1018980038798955,0.0256671823083833,-0.0204349933916665,-0.0908502301076262,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_groupby_combined__sel_combined_union,True,0.2521436142859076,-0.0630945700400663,-0.1932376691652345,0.012163978031324,-0.3634467953697224,-0.6155904096556299,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_groupby_mean_only,True,0.0498514950201622,-0.05531054513898,0.1009585927653716,-0.0791649123991523,-0.0403210614420015,-0.09017255646216371,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_groupby_separate,True,0.1163966814647233,0.0617348083680649,-0.0520530107283322,-0.2535654521469682,0.0462012162355376,-0.07019546522918571,smaller_benefit,False,False,False,False,False,True,False
bag8,joint_pca_10,True,0.0632818813430303,-0.558275802658321,-1.4398522763978296,-1.4997511337263372,-1.641777476811456,-1.7050593581544862,smaller_benefit,False,True,False,True,False,True,False
bag8,joint_pca_5,True,0.0632818813430303,-0.558275802658321,-1.4398522763978296,-1.4997511337263372,-1.641777476811456,-1.7050593581544862,smaller_benefit,False,True,False,True,False,True,False
bag8,joint_pca_var90,True,0.0632818813430303,-0.558275802658321,-1.4398522763978296,-1.4997511337263372,-1.641777476811456,-1.7050593581544862,smaller_benefit,False,True,False,True,False,True,False
bag8,joint_pca_var95,True,0.0632818813430303,-0.558275802658321,-1.4398522763978296,-1.4997511337263372,-1.641777476811456,-1.7050593581544862,smaller_benefit,False,True,False,True,False,True,False
