model,pair_label,pair_quality,joint_key,train_only_key,source_dataset,n_windows,low_direct_test_time_premium_pct,high_direct_test_time_premium_pct,high_minus_low_direct_test_time_premium_pct,window_sequence,premium_sequence_pct,inference_status
bag8,pca_var90,same_hyperparameters,joint_pca_var90,pca_train_only_var90,tabred_sberbank,2,0.8872936900574838,1.1148486356172944,0.2275549455598106,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.887294;1.114849,descriptive_exact_pair_no_source_dataset_ci
bag8,pca_var90,same_hyperparameters,joint_pca_var90,pca_train_only_var90,tabred_weather,3,-0.4694037645776071,2.2564473746705733,2.7258511392481806,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,-0.469404;0.194153;2.256447,descriptive_exact_pair_no_source_dataset_ci
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,tabred_delivery_eta,3,-0.19579927480135034,0.3000059045881282,0.49580517938947855,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,-0.195799;0.262718;0.300006,descriptive_exact_pair_no_source_dataset_ci
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,tabred_homesite,2,4.320929851462473,30.66059339004188,26.339663538579405,tabred_homesite__gap_near;tabred_homesite__gap_far,4.320930;30.660593,descriptive_exact_pair_no_source_dataset_ci
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,tabred_sberbank,2,0.18089470782423378,5.022939607252687,4.842044899428453,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.180895;5.022940,descriptive_exact_pair_no_source_dataset_ci
bag8,pca_var95,same_hyperparameters,joint_pca_var95,pca_train_only_var95,tabred_weather,3,-0.023952130404371157,2.3871760286364165,2.411128159040788,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,-0.023952;0.276766;2.387176,descriptive_exact_pair_no_source_dataset_ci
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,tabred_delivery_eta,3,0.12573347482282804,0.03254335656251973,-0.09319011826030832,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.125733;-0.269847;0.032543,descriptive_exact_pair_no_source_dataset_ci
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,tabred_homesite,2,1.6517460895938934,2.2424972713831015,0.5907511817892082,tabred_homesite__gap_near;tabred_homesite__gap_far,1.651746;2.242497,descriptive_exact_pair_no_source_dataset_ci
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,tabred_sberbank,2,-0.013941339532117592,1.0966208248395206,1.1105621643716381,tabred_sberbank__gap_near;tabred_sberbank__gap_far,-0.013941;1.096621,descriptive_exact_pair_no_source_dataset_ci
bag8,scaling_train_only,closer_pair_but_cat_encoding_also_differs,joint_scaling,train_only_scaling,tabred_weather,3,0.3761605859551004,-0.19224593565158402,-0.5684065216066844,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.376161;0.317417;-0.192246,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,tabred_delivery_eta,3,0.0,0.0,0.0,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,tabred_homesite,2,-0.36337638703441966,-1.2994898554413308,-0.9361134684069111,tabred_homesite__gap_near;tabred_homesite__gap_far,-0.363376;-1.299490,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,tabred_sberbank,2,0.6065996714905942,-2.7196601346198066,-3.326259806110401,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.606600;-2.719660,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m10,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m10,tabred_weather,3,0.0,0.0,0.0,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,tabred_delivery_eta,3,0.0,0.0,0.0,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,tabred_homesite,2,-0.32069833095120476,-0.19590770570301583,0.12479062524818893,tabred_homesite__gap_near;tabred_homesite__gap_far,-0.320698;-0.195908,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,tabred_sberbank,2,0.5456342575813342,-1.6297421579653883,-2.1753764155467223,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.545634;-1.629742,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m20,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m20,tabred_weather,3,0.0,0.0,0.0,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,tabred_delivery_eta,3,0.0,0.0,0.0,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,tabred_homesite,2,-0.36337638703441966,-4.939777237581358,-4.576400850546938,tabred_homesite__gap_near;tabred_homesite__gap_far,-0.363376;-4.939777,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,tabred_sberbank,2,0.5780955001938413,-2.3791134219484693,-2.9572089221423106,tabred_sberbank__gap_near;tabred_sberbank__gap_far,0.578096;-2.379113,descriptive_exact_pair_no_source_dataset_ci
bag8,target_sensitivity_m5,loose_regularization_sensitivity,target_enc_ratio,target_enc_standard_m5,tabred_weather,3,0.0,0.0,0.0,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,0.000000;0.000000;0.000000,descriptive_exact_pair_no_source_dataset_ci
tabicl,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,tabred_delivery_eta,3,0.0,0.0,0.0,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.000000;0.000009;0.000000,descriptive_exact_pair_no_source_dataset_ci
tabicl,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,tabred_homesite,2,0.8963822756922548,-7.904250917403283,-8.800633193095539,tabred_homesite__gap_near;tabred_homesite__gap_far,0.896382;-7.904251,descriptive_exact_pair_no_source_dataset_ci
tabicl,freq,same_hyperparameters,joint_freq_combined,freq_enc_train_only,tabred_weather,3,-1.992717136806153e-05,0.0,1.992717136806153e-05,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,-0.000020;0.000004;0.000000,descriptive_exact_pair_no_source_dataset_ci
tabicl,groupby,same_hyperparameters,joint_groupby_combined,groupby_train_only,tabred_delivery_eta,3,-3.48970222281182,-0.036386705482955674,3.453315517328864,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,-3.489702;0.050989;-0.036387,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,tabred_delivery_eta,3,0.36785775046063823,-0.07185520797858569,-0.4397129584392239,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,0.367858;3.027138;-0.071855,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,tabred_homesite,2,-20.525323295227224,-1.3978029251899258,19.1275203700373,tabred_homesite__gap_near;tabred_homesite__gap_far,-20.525323;-1.397803,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_10,same_hyperparameters,joint_pca_10,pca_train_only_10,tabred_weather,3,-0.3235737328791144,-1.542045413468598,-1.2184716805894835,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,-0.323574;0.304888;-1.542045,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_5,same_hyperparameters,joint_pca_5,pca_train_only_5,tabred_delivery_eta,3,-0.05315861130731077,0.0930122145954167,0.14617082590272745,tabred_delivery_eta__gap_near;tabred_delivery_eta__gap_far;tabred_delivery_eta__gap_maxdiff,-0.053159;0.178473;0.093012,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_5,same_hyperparameters,joint_pca_5,pca_train_only_5,tabred_homesite,2,0.35708881827817196,1.3117262638035763,0.9546374455254043,tabred_homesite__gap_near;tabred_homesite__gap_far,0.357089;1.311726,descriptive_exact_pair_no_source_dataset_ci
tabicl,pca_5,same_hyperparameters,joint_pca_5,pca_train_only_5,tabred_weather,3,-0.4580843186907143,0.20336659643807972,0.6614509151287941,tabred_weather__gap_near;tabred_weather__gap_far;tabred_weather__gap_maxdiff,-0.458084;-0.081470;0.203367,descriptive_exact_pair_no_source_dataset_ci
