model,method_key,method_role,family,shift_bin,roster_band_datasets,execution_n_datasets,near_perfect_datasets_masked,n_fold_cells,n_datasets,mean_lift_pct,median_lift_pct,median_ci95_low_pct,median_ci95_high_pct,median_ci_coverage,ci95_low_pct,ci95_high_pct,wins,ties,losses,win_rate_decided,win_ci95_low,win_ci95_high,t_p_positive,t_p_negative,sign_p_positive,sign_p_negative,p10_lift_pct,p90_lift_pct,worst_lift_pct,best_lift_pct,finite_denominator_consistent,band_status,t_p_positive_bh,t_p_positive_holm,t_p_negative_bh,t_p_negative_holm,sign_p_positive_bh,sign_p_positive_holm,sign_p_negative_bh,sign_p_negative_holm,positive_mean_ci,negative_mean_ci,reliable_positive_strict,consistently_harmful_strict,never_exceeds_inductive
bag8,adversarial_lgbm_both_ratio,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-3.484933129687736,-0.9469960005546952,-1.280638053257816,-0.185762413022212,0.9511261076817297,-6.092179295609653,-0.8776869637658189,14,0,37,0.27450980392156865,0.1589272653864144,0.4174475230491968,0.9950892798731786,0.0049107201268213645,0.9996894782718861,0.0008845985918934929,-9.463135096691923,0.913678299386584,-50.918292358822406,5.247229892501691,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.014101683855297555,0.46651841204802963,0.9999999999994107,1.0,0.0025476439446532593,0.08845985918934929,False,True,False,True,False
bag8,adversarial_lgbm_cal_iso_both_ratio,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-2.2227878487202353,-0.5277946530348354,-1.0886310701586226,-0.1161729405589295,0.9511261076817297,-3.8144550966852315,-0.631120600755239,13,0,38,0.2549019607843137,0.14326258375972797,0.39633421694407456,0.996425624664067,0.0035743753359329653,0.9999009802743313,0.00031052172811385503,-4.493164127748869,0.2481956007986616,-28.46201032279591,4.1166738931850295,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.011690245677360078,0.36725040798318626,0.9999999999994107,1.0,0.0010398867174045378,0.03508895527686562,False,True,False,True,False
bag8,adversarial_lgbm_cal_iso_feature,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-2.1553369017506565,-0.7419775608991978,-1.228387698196388,-0.0944536505014555,0.9511261076817297,-3.760945848739279,-0.5497279547620342,14,0,37,0.27450980392156865,0.1589272653864144,0.4174475230491968,0.9952350449119044,0.004764955088095611,0.9996894782718861,0.0008845985918934929,-3.54846049628004,0.4399275029632739,-28.60798310835961,4.325555354429143,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.014003133320117713,0.45743568845717864,0.9999999999994107,1.0,0.0025476439446532593,0.08845985918934929,False,True,False,True,False
bag8,adversarial_lgbm_cal_platt_feature,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-3.4710614153654222,-0.7683766940696082,-1.3280841718334888,-0.21534716521852,0.9511261076817297,-6.447408519418678,-0.4947143113121668,12,0,39,0.23529411764705882,0.12790810025182786,0.3749305083598585,0.9884092035639619,0.011590796436038083,0.999971480941813,9.90197256687253e-05,-6.294402626257975,0.2234343894259007,-63.93028713784486,1.7703987775256285,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.024911562489395283,0.9040821220109705,0.9999999999994107,1.0,0.00047529468320988143,0.01158530790324086,False,True,False,True,False
bag8,adversarial_lgbm_feature,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-3.0390884054497027,-0.7786277905985957,-1.080103488802859,-0.3759270073905828,0.9511261076817297,-5.690776982098509,-0.38739982880089663,10,0,41,0.19607843137254902,0.09824341651159876,0.3311573512529288,0.9872314192314489,0.01276858076855112,0.9999983055860255,7.368857942502416e-06,-3.103238440224181,0.2659940738317568,-53.63035023808592,5.408943763654954,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.027039347509872958,0.9831807191784363,0.9999999999994107,1.0,5.5848186511597255e-05,0.0009432138166403092,False,True,False,True,False
bag8,adversarial_logreg_feature,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-2.2645993002363998,-0.4180324709400312,-0.8830555622839407,-0.1707596237055627,0.9511261076817297,-3.930241304065536,-0.5989572964072634,11,0,40,0.21568627450980393,0.11289059974974344,0.3532140635095191,0.9956483083644989,0.0043516916355010255,0.9999926311420575,2.851905818701539e-05,-3.9845555812929767,0.2844042424611802,-31.47897263252763,1.7425980030820194,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.013055074906503076,0.42211408864359945,0.9999999999994107,1.0,0.00015795170688193139,0.0034793250988158775,False,True,False,True,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-0.2768245486443013,-0.0094229172056159,-0.1503179919611311,0.0398301150681913,0.9511261076817297,-0.6050200360275018,0.05137093873889925,24,0,27,0.47058823529411764,0.32930014878592506,0.6154127369372966,0.9517727757138853,0.04822722428611471,0.7120753261340766,0.3898839652765371,-1.539543087589624,0.4518420636793541,-6.788013917470633,1.6029941388320266,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.08680900371500647,1.0,0.9999999999994107,1.0,0.6036913010733478,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_hard_tempered,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-0.22778024351496834,0.0417999094612218,-0.0499359191578229,0.1369730667710036,0.9511261076817297,-0.658447877582109,0.2028873905521723,28,0,23,0.5490196078431373,0.40341882290479236,0.6887249726088704,0.853404391908067,0.14659560809193292,0.28792467386592335,0.7994690044860313,-0.6848230543110062,0.8421141013639704,-9.201137809436789,1.0748787648405445,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.23988372233225386,1.0,0.9999999999994107,1.0,0.9919643959135956,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_cal_iso_ratio_winsorize,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-0.15161946045370112,0.0022420929461908,-0.0367079069336831,0.1165845444878408,0.9511261076817297,-0.5557883393782426,0.2525494184708403,26,0,25,0.5098039215686274,0.3659571396709641,0.6524720370048858,0.7726550259187239,0.22734497408127613,0.5,0.6101160347234629,-0.3698953605909787,0.6431836930863704,-8.499233581228113,1.8658363970835496,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.31784151716217246,1.0,0.9999999999994107,1.0,0.828836877360176,1.0,False,False,False,False,False
bag8,adversarial_reweight_lgbm_ratio_hard,test_time_variant,M6_adversarial,DAUC < 0.55,57,57,6,159,51,-0.49803489533396683,-0.0470907632177437,-0.4523312709966262,0.0406687817009015,0.9511261076817297,-0.9598190844783465,-0.0362507061895872,22,0,29,0.43137254901960786,0.2934548738405946,0.5775467741928846,0.9824566553741855,0.017543344625814562,0.8687812321444781,0.2005309955139687,-1.8539584261211872,0.4887476928815727,-6.016452975175092,4.984542522403191,True,reliability_eligible_n_ge_10,0.9999893256466442,1.0,0.036089166087389955,1.0,0.9999999999994107,1.0,0.35215199212209136,1.0,False,True,False,False,False
