model,dataset,source_id,dataset_family,task_type,n_folds,has_repeated_folds,near_perfect_base,available_test_time_configurations,finite_relative_test_time_configurations,available_train_only_configurations,median_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,positive_configuration_share,zero_configuration_share,negative_configuration_share,families_with_finite_results,family_balanced_mean_of_family_medians_pct,family_balanced_median_of_family_medians_pct,family_balanced_q1_pct,family_balanced_q3_pct,positive_families,zero_families,negative_families,best_exact_configuration,best_exact_family,best_exact_effect_pct,best_is_selected_after_labels
bag8,APSFailure,source::APSFailure,TabArena_IID,classification,3,True,True,134,0,10,,,,0,0,0,,,,0,,,,,0,0,0,,,,False
bag8,Amazon_employee_access,source::Amazon_employee_access,TabArena_IID,classification,3,True,False,134,134,10,0.0,-1.2028843298777547,0.7675046031250949,48,26,60,0.3582089552238806,0.19402985074626866,0.44776119402985076,17,-0.4202661653829982,0.0,-0.8160891590251662,1.1513955356118082,5,4,8,joint_freq_separate,M1_frequency_encoding,7.565746215648774,True
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,TabArena_IID,regression,3,True,False,125,125,10,-0.1446833559671899,-1.1372103675416172,0.0,23,19,83,0.184,0.152,0.664,16,-1.0072499578225447,-0.15924010738304412,-0.832214217237418,0.0,3,3,10,label_prop_v3_t01_k15,M8_label_propagation,0.4005177609530431,True
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,TabArena_IID,classification,3,True,False,134,134,10,-0.0515810165318925,-1.65996910743851,0.16018718444383465,48,11,75,0.3582089552238806,0.08208955223880597,0.5597014925373134,17,-1.5776777123998618,-0.0515810165318925,-0.9505589386737316,0.0869413671338599,6,2,9,targeted_groupby_top3,M14_groupby_aggregation,0.9110365778688512,True
bag8,Bioresponse,source::Bioresponse,TabArena_IID,classification,3,True,False,132,132,9,-0.7337179990507507,-1.9621111303238754,0.0,9,26,97,0.06818181818181818,0.19696969696969696,0.7348484848484849,17,-2.280434995048337,-0.6526203683207404,-2.012364974682669,-0.2972895288631773,0,3,14,adversarial_reweight_lgbm_ratio_winsorize_tempered,M6_adversarial_validation,0.7860745222476397,True
bag8,Diabetes130US,source::diabetes_130_us,TabArena_IID,classification,3,True,False,134,134,10,-0.023367985808377553,-0.18820113767905075,0.35750863758933166,62,1,71,0.4626865671641791,0.007462686567164179,0.5298507462686567,17,-0.605219508686434,0.0213578549619338,-0.0940404485311952,0.3510101308248481,9,1,7,ot_disp_v2_selective,M9_optimal_transport,5.595471752717868,True
bag8,E-CommereShippingData,source::E-CommereShippingData,TabArena_IID,classification,3,True,False,134,134,10,-0.3032901624850844,-0.7299098854733006,0.00158992270915575,34,3,97,0.2537313432835821,0.022388059701492536,0.7238805970149254,17,-0.43046167825755266,-0.3441816097689583,-0.5191507835585152,-0.1733367274347576,3,0,14,leaf_density_embed_k20,M18_leaf_density,1.673520505804644,True
bag8,Fitness_Club,source::Fitness_Club,TabArena_IID,classification,3,True,False,134,134,10,-0.38577897101992203,-2.4035254275401696,0.06311051170796302,39,4,91,0.291044776119403,0.029850746268656716,0.6791044776119403,17,-1.8170208923711215,-0.32350098323590515,-2.2263801637970912,-0.0145495543886812,4,0,13,leaf_density_conf,M18_leaf_density,2.521962366606458,True
bag8,Food_Delivery_Time,source::Food_Delivery_Time,TabArena_IID,regression,3,True,False,124,124,10,-0.07070984428022965,-0.3193322890959943,-0.002333589544069725,28,3,93,0.22580645161290322,0.024193548387096774,0.75,16,-0.632187531560611,-0.06219355787668915,-0.22780020690661282,0.002350871328231875,4,1,11,neighbor_consensus_k10_uniform,M19_neighborhood_consensus,1.7295165659402427,True
bag8,GiveMeSomeCredit,source::GiveMeSomeCredit,TabArena_IID,classification,3,True,False,134,134,10,-2.539613204264729e-05,-0.3384475058775641,0.04212107225005188,45,21,68,0.3358208955223881,0.15671641791044777,0.5074626865671642,17,-1.4473759371873005,0.0,-0.25750804898659313,0.0542612169953453,6,3,8,label_prop_v3_t01_k15,M8_label_propagation,0.3117184737178326,True
