model,dataset,source_id,conceptual_family,available_configurations,finite_relative_configurations,selector_wrappers,median_effect_pct,mean_effect_pct,q1_effect_pct,q3_effect_pct,positive_configurations,zero_configurations,negative_configurations,best_configuration,best_effect_pct,worst_effect_pct
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M14_groupby_aggregation,9,9,2,-0.0148113363328209,-0.03990194149990703,-0.0763251237603096,0.0,0,4,5,joint_groupby_combined,0.0,-0.0958279448228616
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M14b_groupby_shift_features,6,6,2,0.084235209264743,0.053688250121025176,0.02105880231618575,0.084235209264743,4,1,1,groupby_shift_cohen_d,0.084235209264743,-0.0148113363328209
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M16_nearest_test_distance,7,7,0,-1.1372103675416172,-1.098059043025847,-1.387372750665405,-0.7770682961423305,0,0,7,nearest_test_k10_filter_both,-0.432504012403522,-1.7878168276203186
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M17_test_directed_augmentation,12,12,0,-7.964330938258213,-7.837496181281672,-8.217232479769494,-7.284068731764234,0,0,12,tdda_v2_k5_lam07_nopfl_dw,-7.254640886254474,-8.457578210404968
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M18_leaf_density,8,8,0,-0.7305488338026849,-0.6223269682007622,-0.8894825269517322,-0.20286598186756327,1,0,7,leaf_density_embed_k5,0.0292461161525387,-1.4617283920128217
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M19_neighborhood_consensus,6,6,0,-3.066023251504551,-3.10925661656241,-3.3727107833327237,-2.8788775906001414,0,0,6,neighbor_consensus_k10_dist_cumshift,-2.754505818406243,-3.477551713718328
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M1_frequency_encoding,6,6,4,0.0,-0.0049371121109403,-0.011108502249615675,0.0,0,4,2,joint_freq_combined,0.0,-0.0148113363328209
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M20_cluster_membership,8,8,0,-0.03506726607309325,-0.022429319317184657,-0.08484810112371197,0.06642424258175718,3,0,5,cluster_membership_k10_both,0.3453600565814178,-0.4011387918468983
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M2_frequency_ratio,7,7,2,0.0,0.02190645363493624,0.0,0.04203912794434365,2,4,1,freq_ratio_log,0.0840782558886873,-0.0148113363328209
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M3_joint_pca,4,4,0,0.10519779499525697,0.08138326573820001,-0.07196980440861594,0.2585508651420729,2,0,2,joint_pca_5,0.2585508651420729,-0.1434133921797868
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M3b_joint_tsne,3,3,0,-0.283412948692995,-0.37780112371277436,-0.4477299115785496,-0.2606782483371095,0,0,3,joint_tsne_2d_p50,-0.237943547981224,-0.6120468744641041
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M4_target_encoding,12,12,2,0.0,0.08142676846888867,0.0,0.1585392864784974,5,6,1,target_enc_oof_inv_ratio,0.3259961548043581,-0.0148113363328209
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M5_joint_scaling,1,1,0,0.2405787725740545,0.2405787725740545,0.2405787725740545,0.2405787725740545,1,0,0,joint_scaling,0.2405787725740545,0.2405787725740545
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M6_adversarial_validation,16,16,0,-0.6518362550195897,-0.5970673661881718,-0.9445069254529419,-0.14648099674522577,2,0,14,adversarial_lgbm_cal_platt_feature,0.1687877927518008,-1.4230938284799353
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M8_label_propagation,11,11,0,-0.5132784204685482,-0.3965085374628554,-0.7227220334392404,-0.01557782427854925,3,0,8,label_prop_v3_t01_k15,0.4005177609530431,-1.2541192895653437
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,M9_optimal_transport,9,9,0,-2.1494914843006576,-2.2278004859108176,-3.547494639295937,-0.7297913730082695,0,0,9,ot_disp_v2_summary_only,-0.1161273454270124,-3.715729388021009
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M14_groupby_aggregation,9,9,2,0.0869413671338599,0.28010498638097775,-0.1101832586089587,0.5609389585177583,6,0,3,targeted_groupby_top3,0.9110365778688512,-0.1101832586089587
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M14b_groupby_shift_features,6,6,2,-0.0515810165318925,-0.06845398010256853,-0.05661544745506598,-0.0515810165318925,0,0,6,groupby_shift_cohen_d,-0.0515810165318925,-0.1461062233917174
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M16_nearest_test_distance,7,7,0,-0.7574448800478013,-0.8889376988566822,-0.9100498087896726,-0.5252680353318809,1,0,6,nearest_test_k5_both,0.0486037784142305,-2.643087102120097
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M17_test_directed_augmentation,12,12,0,-16.10823560340346,-15.030811319611855,-19.291567285733603,-11.636467147778994,0,0,12,tdda_v2_k5_lam07_nopfl_dw,-6.927656465639346,-19.41761721984918
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M18_leaf_density,8,8,0,-0.9505589386737316,-0.729600308073012,-1.0600387737510109,-0.2405821177651009,1,0,7,leaf_density_conf_deep,0.3308038428972336,-1.6352347666824014
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M19_neighborhood_consensus,6,6,0,-4.959800305318552,-5.153312745992621,-5.070501345034278,-4.473479201596469,0,0,6,neighbor_consensus_k20_dist,-3.663097107771629,-7.91840489891836
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M1_frequency_encoding,6,6,4,0.0,-0.0146399397678451,-0.012204957226801351,0.0,0,4,2,joint_freq_combined__sel_combined_intersection,0.0,-0.0715663623046688
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M20_cluster_membership,8,8,0,0.1364553621207997,0.012868212115885971,-0.006978567258224766,0.1729292816286666,6,0,2,cluster_membership_k10_feature_cumshift,0.4021989747990456,-0.755270248738074
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M2_frequency_ratio,7,7,2,0.0,-0.010283276380250799,-0.0179957336654389,0.0,0,5,2,freq_ratio_log__sel_combined_intersection,0.0,-0.0359914673308778
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M3_joint_pca,4,4,0,-0.1685220333418767,-0.2978363553771553,-0.2978363553771553,-0.1685220333418767,0,0,4,joint_pca_10,-0.1685220333418767,-0.6857793214829911
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M3b_joint_tsne,3,3,0,-0.6289444347620754,-0.5472319916025165,-0.9062291947205376,-0.22909101006427476,1,0,2,joint_tsne_3d_p30,0.1707624146335259,-1.183513954679
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M4_target_encoding,12,12,2,0.0009652159651517,0.3273254775650039,0.0009652159651517,0.7846159301908576,10,2,0,target_enc_oof_absolute,0.7846159301908576,0.0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M5_joint_scaling,1,1,0,0.1677566640829253,0.1677566640829253,0.1677566640829253,0.1677566640829253,1,0,0,joint_scaling,0.1677566640829253,0.1677566640829253
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M6_adversarial_validation,16,16,0,0.26661612428526327,0.2538794299856823,0.02974844553464015,0.4588894556556059,12,0,4,adversarial_reweight_lgbm_ratio_hard_tempered,0.5859912077068213,-0.1002004274457013
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M7_pseudo_labeling,9,9,0,0.7037334810091447,0.6550093369642689,0.5513797109655469,0.7451069427037663,9,0,0,pseudo_label_lgbm_conf90_iter3,0.8652812901750908,0.3871313225706002
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M8_label_propagation,11,11,0,-2.731616440378444,-2.9278440387323057,-4.099767665843514,-1.930372061935702,0,0,11,label_prop_k10_a05,-0.8200596368123092,-4.722511035970813
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,M9_optimal_transport,9,9,0,-1.826285672936962,-1.506417444454807,-2.129256707185461,-1.0293657190973078,1,0,8,ot_disp_v2_summary_only,0.1719792047785712,-2.1673434488181145
bag8,Bioresponse,source::Bioresponse,M14_groupby_aggregation,7,7,2,-0.4127689864044443,-2.4452675382807274,-4.425003274831055,-0.34575366796643775,0,0,7,targeted_groupby_top3,-0.2787383495284312,-6.88385154643723
bag8,Bioresponse,source::Bioresponse,M14b_groupby_shift_features,6,6,2,-9.717775172728985,-9.33864722792798,-9.772818652074331,-9.600142373001656,0,0,6,groupby_shift_ratio_log,-7.371315568736454,-9.872919535091466
bag8,Bioresponse,source::Bioresponse,M16_nearest_test_distance,7,7,0,-2.012364974682669,-2.9204591087766127,-5.06985546376327,-1.336024266604549,0,0,7,nearest_test_rel_k5_both,-0.0209572386952239,-5.598132087322758
bag8,Bioresponse,source::Bioresponse,M17_test_directed_augmentation,12,12,0,-0.2562788975942604,-0.2962619722387835,-0.3734684679715061,0.028893097577502927,4,0,8,tdda_v2_k5_lam07_nopfl_dw,0.2779037533087235,-1.2968552030719522
bag8,Bioresponse,source::Bioresponse,M18_leaf_density,8,8,0,-0.6039958452457199,-0.717004340379988,-1.093342632206183,-0.3421664630939063,1,0,7,leaf_density_conf_cumshift,0.0893401677491265,-1.5785536111755147
bag8,Bioresponse,source::Bioresponse,M19_neighborhood_consensus,6,6,0,-10.341833703825255,-11.000169837133006,-12.089587009174075,-10.139811954439667,0,0,6,neighbor_consensus_k20_dist,-9.561411292614435,-13.011297506931603
bag8,Bioresponse,source::Bioresponse,M1_frequency_encoding,6,6,4,0.0,0.0,0.0,0.0,0,6,0,joint_freq_combined,0.0,0.0
bag8,Bioresponse,source::Bioresponse,M20_cluster_membership,8,8,0,-0.2972895288631773,-0.3949949948209241,-0.592068673838545,-0.2199640691937509,1,0,7,cluster_membership_k5_feature,0.0071612192874791,-0.9116788550491116
bag8,Bioresponse,source::Bioresponse,M2_frequency_ratio,7,7,2,0.0,0.0,0.0,0.0,0,7,0,freq_ratio_log,0.0,0.0
bag8,Bioresponse,source::Bioresponse,M3_joint_pca,4,4,0,-4.957192768463565,-5.535765805585607,-9.379698051241807,-1.1132605228073655,0,0,4,joint_pca_5,-0.7200370963630321,-11.508640589052265
bag8,Bioresponse,source::Bioresponse,M3b_joint_tsne,3,3,0,-0.7526954699891536,-0.706373381241031,-0.8389448737205056,-0.5969629331356177,0,0,3,joint_tsne_2d_p30,-0.4412303962820818,-0.9251942774518576
bag8,Bioresponse,source::Bioresponse,M4_target_encoding,12,12,2,0.0,0.0,0.0,0.0,0,12,0,target_enc_absolute,0.0,0.0
bag8,Bioresponse,source::Bioresponse,M5_joint_scaling,1,1,0,-0.4049326555196799,-0.4049326555196799,-0.4049326555196799,-0.4049326555196799,0,0,1,joint_scaling,-0.4049326555196799,-0.4049326555196799
bag8,Bioresponse,source::Bioresponse,M6_adversarial_validation,16,16,0,-0.6526203683207404,-0.6658017948495214,-1.1216382620157077,-0.2212849136420621,3,0,13,adversarial_reweight_lgbm_ratio_winsorize_tempered,0.7860745222476397,-1.945359848870944
bag8,Bioresponse,source::Bioresponse,M7_pseudo_labeling,9,9,0,-1.1651622750037869,-1.2311462728736933,-1.9155733975812308,-1.003896940797175,0,1,8,pseudo_label_v2_cal_platt_wprop_conf90,0.0,-2.0360562354770355
bag8,Bioresponse,source::Bioresponse,M8_label_propagation,11,11,0,-5.5439540818589865,-5.225941526680115,-6.992321474952126,-3.630122424233421,0,0,11,label_prop_k10_a05,-0.656059780112643,-9.260556143263637
bag8,Bioresponse,source::Bioresponse,M9_optimal_transport,9,9,0,-1.6485301873213134,-5.839274102210156,-1.782833027274753,-1.3401444858730855,0,0,9,ot_disp_v2_summary_only,-0.7473989017384692,-21.45348289233637
bag8,Diabetes130US,source::diabetes_130_us,M14_groupby_aggregation,9,9,2,1.0232555035012263,0.6084663089155178,-0.0001488445214594,1.1266982812094075,6,0,3,joint_groupby_combined,1.1765733548266477,-0.1421417532996323
bag8,Diabetes130US,source::diabetes_130_us,M14b_groupby_shift_features,6,6,2,0.7856159298313856,0.7505252218436701,0.7432460393325769,0.8651082174553388,6,0,0,groupby_shift_cohen_d_min10,0.8948540316771312,0.4163370505591539
bag8,Diabetes130US,source::diabetes_130_us,M16_nearest_test_distance,7,7,0,-0.3491472651787651,-0.3540462813025495,-0.37713370613321734,-0.30791505107490047,0,0,7,nearest_test_k5_both,-0.2537857049374688,-0.505293484585377
bag8,Diabetes130US,source::diabetes_130_us,M17_test_directed_augmentation,12,12,0,-12.12599955028129,-11.051609141431575,-12.666443454864115,-8.549756353412509,0,0,12,tdda_v2_k5_lam07_nopfl_dw,-7.784254169973447,-12.94283822363933
bag8,Diabetes130US,source::diabetes_130_us,M18_leaf_density,8,8,0,-0.0468988747286253,-0.04671254189996482,-0.1341156343857608,0.03433165658745513,3,0,5,leaf_density_conf_deep,0.0942546797684924,-0.1861272214968811
bag8,Diabetes130US,source::diabetes_130_us,M19_neighborhood_consensus,6,6,0,1.708791753248684,1.7352392401912073,1.6784670908394768,1.7435985590950385,6,0,0,neighbor_consensus_k20_dist,1.9984251559836528,1.5718670809193265
bag8,Diabetes130US,source::diabetes_130_us,M1_frequency_encoding,6,6,4,0.4715513803857273,0.5041189709249051,0.4102651804093384,0.5660398854801544,6,0,0,joint_freq_combined,0.7345637573383111,0.3596748065108262
bag8,Diabetes130US,source::diabetes_130_us,M20_cluster_membership,8,8,0,-0.08431850143770855,-0.08286097745161342,-0.1174000556549154,-0.04655100127560527,0,0,8,cluster_membership_k15_both,-0.0205337957343257,-0.1420350636892624
bag8,Diabetes130US,source::diabetes_130_us,M2_frequency_ratio,7,7,2,0.2431367096380315,0.22274479576135844,0.0233144488869463,0.3650887223418712,7,0,0,freq_ratio_v2_ratio_ungated,0.5159560693468963,0.0233144488869463
bag8,Diabetes130US,source::diabetes_130_us,M3_joint_pca,4,4,0,0.0213578549619338,0.014435025517053874,0.0110363526359891,0.024756527842998574,3,0,1,joint_pca_var90,0.0349525464861929,-0.019928154341845
bag8,Diabetes130US,source::diabetes_130_us,M3b_joint_tsne,3,3,0,0.1328535820581267,0.08189140995215287,0.040887496031026704,0.14837640992626594,2,0,1,joint_tsne_3d_p30,0.1638992377944052,-0.0510785899960733
bag8,Diabetes130US,source::diabetes_130_us,M4_target_encoding,12,12,2,-2.214274850219567,-1.4319448568608129,-2.265669969221412,-0.09500278800653313,3,0,9,target_enc_oof_ratio,0.2538203846634824,-3.6571291017573833
bag8,Diabetes130US,source::diabetes_130_us,M5_joint_scaling,1,1,0,0.0,0.0,0.0,0.0,0,1,0,joint_scaling,0.0,0.0
bag8,Diabetes130US,source::diabetes_130_us,M6_adversarial_validation,16,16,0,-0.14309140863317,-0.12651919597192834,-0.16824447366435688,-0.09204368140308675,1,0,15,adversarial_lgbm_feature,6.89287164171685e-05,-0.2145550359466758
bag8,Diabetes130US,source::diabetes_130_us,M7_pseudo_labeling,9,9,0,0.3510101308248481,0.2545621309290707,0.1483235058166217,0.6357120350995362,7,0,2,pseudo_label_lgbm_conf95_iter3,0.9159028280165176,-0.968453636912834
bag8,Diabetes130US,source::diabetes_130_us,M8_label_propagation,11,11,0,0.0314664068909779,0.04602370790289125,-0.006960112349878051,0.1309966424593521,8,0,3,label_prop_weighted_k15_a08,0.1644362058325579,-0.1031478913971173
bag8,Diabetes130US,source::diabetes_130_us,M9_optimal_transport,9,9,0,-0.0940404485311952,2.375884440120664,-0.1135437576680008,5.4547843020217535,4,0,5,ot_disp_v2_selective,5.595471752717868,-0.2701230374764689
