model,dataset,n_folds,configurations,all_positive_configurations,all_negative_configurations,all_zero_configurations,mixed_configurations,positive_dataset_average_configurations,negative_dataset_average_configurations,exact_configuration_median_by_fold_pct,family_balanced_median_by_fold_pct,family_balanced_positive_folds,family_balanced_zero_folds,family_balanced_negative_folds
bag8,kddcup09_appetency,3,134,12,54,0,68,28,106,0:-0.915731454;1:-1.362935753;2:0.099063166,0:-0.815642508;1:-0.852542812;2:0.229574509,1,0,2
bag8,maternal_health_risk,3,134,20,49,25,40,48,61,0:0.000000000;1:-1.262072204;2:0.000000000,0:0.000000000;1:-1.339580934;2:-1.524126164,0,1,2
bag8,miami_housing,3,125,8,46,1,70,32,92,0:-0.002408620;1:-1.083740536;2:-0.000000008,0:-0.003069161;1:-1.286289276;2:-0.000000008,0,0,3
bag8,online_shoppers_intention,3,134,38,30,3,63,70,61,0:0.495354660;1:-0.195538361;2:-0.057096009,0:0.432442394;1:-0.175914440;2:0.036600006,2,0,1
bag8,physiochemical_protein,3,125,32,44,28,21,51,46,0:0.000000000;1:0.000000000;2:0.000000000,0:0.000000000;1:-0.011502719;2:0.000000000,0,2,1
bag8,polish_companies_bankruptcy,3,134,3,29,28,74,24,82,0:-0.658533952;1:-0.623155133;2:0.000000000,0:-1.176724603;1:-1.229911446;2:0.000000000,0,1,2
bag8,qsar-biodeg,3,134,3,43,3,85,41,90,0:-0.956106041;1:-0.814774579;2:-2.144607843,0:-0.521512386;1:-0.162954916;2:-1.838235294,0,0,3
bag8,seismic-bumps,3,134,8,36,5,85,33,96,0:-0.296765259;1:-0.032690422;2:-1.259213759,0:-1.543179345;1:0.000000000;2:-1.877851878,0,1,2
bag8,splice,0,134,0,0,0,134,0,0,0:nan;1:nan;2:nan,0:nan;1:nan;2:nan,0,0,0
bag8,students_dropout_and_academic_success,3,134,18,43,4,69,46,84,0:-0.036305887;1:0.000000000;2:-1.701790082,0:-0.679534261;1:0.042126107;2:-1.962816960,1,0,2
bag8,superconductivity,3,125,7,60,17,41,21,87,0:-0.226193906;1:-0.290602839;2:-0.132140479,0:-0.058523882;1:-0.185648358;2:-0.095331659,0,0,3
bag8,taiwanese_bankruptcy_prediction,3,134,2,13,28,91,28,78,0:0.000000000;1:0.000000000;2:-0.540945406,0:0.000000000;1:0.000000000;2:-2.217876165,0,2,1
