model,dataset,source_id,pair,conceptual_family,joint_method_key,train_only_method_key,pair_quality,n_shared_folds,near_perfect_base,joint_mean_error,train_only_mean_error,baseline_mean_error,joint_vs_inductive_pct,train_only_vs_inductive_pct,joint_premium_vs_train_only_pct,joint_premium_on_inductive_scale_pct,absolute_error_decrease_joint_vs_train_only,joint_better_folds,tie_folds,joint_worse_folds
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,groupby_combined,group-by aggregation,joint_groupby_combined,groupby_train_only,same_hyperparameters,3,False,748.4780342430635,748.4780342430635,748.4780342430635,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,pca_10,principal component analysis,joint_pca_10,pca_train_only_10,same_hyperparameters,3,False,749.551451981692,752.1306119092916,748.4780342430635,-0.14341339217978682,-0.4880006492003444,0.3429138352782022,0.3445872570205576,2.5791599275995623,2,0,1
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,pca_5,principal component analysis,joint_pca_5,pca_train_only_5,same_hyperparameters,3,False,746.5428378101296,748.3963346418928,748.4780342430635,0.2585508651420729,0.010915430705088795,0.24766246786204615,0.24763543443698416,1.8534968317632092,2,0,1
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,pca_var90,principal component analysis,joint_pca_var90,pca_train_only_var90,same_hyperparameters,3,False,748.8384658999022,749.5872127812058,748.4780342430635,-0.04815527515155905,-0.14819119431662234,0.09988789410181609,0.1000359191650633,0.7487468813036458,3,0,0
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,pca_var95,principal component analysis,joint_pca_var95,pca_train_only_var95,same_hyperparameters,3,False,746.5428378101296,748.3963346418928,748.4780342430635,0.2585508651420729,0.010915430705088795,0.24766246786204615,0.24763543443698416,1.8534968317632092,2,0,1
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,scaling_train_only,scaling,joint_scaling,train_only_scaling,closer_pair_but_cat_encoding_also_differs,3,False,746.6773549752951,747.5528816954092,748.4780342430635,0.2405787725740545,0.12360450211340059,0.11711903486057335,0.11697427046065391,0.8755267201140668,2,0,1
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,target_m10,target encoding,target_enc_ratio,target_enc_standard_m10,loose_regularization_sensitivity,3,False,748.4780342430635,748.4780342430635,748.4780342430635,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,target_m20,target encoding,target_enc_ratio,target_enc_standard_m20,loose_regularization_sensitivity,3,False,748.4780342430635,748.4780342430635,748.4780342430635,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Another-Dataset-on-used-Fiat-500,source::Another-Dataset-on-used-Fiat-500,target_m5,target encoding,target_enc_ratio,target_enc_standard_m5,loose_regularization_sensitivity,3,False,748.4780342430635,748.4780342430635,748.4780342430635,0.0,0.0,0.0,0.0,0.0,0,3,0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,frequency_combined,frequency encoding,joint_freq_combined,freq_enc_train_only,same_hyperparameters,3,False,0.13416902504821113,0.13416902504821113,0.1341471949045324,-0.016273276302401808,-0.016273276302401808,0.0,0.0,0.0,0,3,0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,groupby_combined,group-by aggregation,joint_groupby_combined,groupby_train_only,same_hyperparameters,3,False,0.13429500265521074,0.13429500265521074,0.1341471949045324,-0.11018325860897944,-0.11018325860897944,0.0,0.0,0.0,0,3,0
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,pca_10,principal component analysis,joint_pca_10,pca_train_only_10,same_hyperparameters,3,False,0.13437326248505663,0.13410759433639916,0.1341471949045324,-0.16852203334189747,0.02952023570930269,-0.19810074885920528,-0.19804226905120015,-0.0002656681486574719,1,0,2
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,pca_5,principal component analysis,joint_pca_5,pca_train_only_5,same_hyperparameters,3,False,0.1350671486275372,0.13459455079837992,0.1341471949045324,-0.6857793214830121,-0.33348136289089075,-0.35112701543556873,-0.3522979585921214,-0.0004725978291572619,1,0,2
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,pca_var90,principal component analysis,joint_pca_var90,pca_train_only_var90,same_hyperparameters,3,False,0.13437326248505663,0.13410759433639916,0.1341471949045324,-0.16852203334189747,0.02952023570930269,-0.19810074885920528,-0.19804226905120015,-0.0002656681486574719,1,0,2
bag8,Bank_Customer_Churn,source::Bank_Customer_Churn,pca_var95,principal component analysis,joint_pca_var95,pca_train_only_var95,same_hyperparameters,3,False,0.13437326248505663,0.13410759433639916,0.1341471949045324,-0.16852203334189747,0.02952023570930269,-0.19810074885920528,-0.19804226905120015,-0.0002656681486574719,1,0,2
